Region Id,Sick,Healed,Die,Region Name
77,1113560,1006542,18779,Москва
78,421482,381738,13485,Санкт-Петербург
50,254885,209150,5918,Московская область
52,114983,110459,3287,Нижегородская область
61,89701,80331,4121,Ростовская область
66,87006,80755,3182,Свердловская область
36,81744,77141,2711,Воронежская область
24,71228,65594,3579,Красноярский край
38,67211,64121,2303,Иркутская область
63,62485,59666,1600,Самарская область
29,62389,59037,956,Архангельская область
64,60037,54736,967,Саратовская область
74,59715,55342,1477,Челябинская область
34,57679,55074,1158,Волгоградская область
86,56410,55134,793,Ханты-Мансийский АО
59,55242,49986,2246,Пермский край
73,54100,51350,1236,Ульяновская область
26,53483,50594,1397,Ставропольский край
27,51858,49804,386,Хабаровский край
51,50507,47825,1174,Мурманская область
22,50209,45169,2113,Алтайский край
23,46273,40742,2763,Краснодарский край
55,46133,43720,1396,Омская область
10,46052,44227,489,Республика Карелия
58,45566,42911,686,Пензенская область
35,45147,42227,1034,Вологодская область
25,43728,41091,718,Приморский край
11,43484,42223,910,Республика Коми
47,43250,40516,1221,Ленинградская область
56,42833,38943,891,Оренбургская область
43,42608,40008,354,Кировская область
75,42521,41106,639,Забайкальский край
54,41686,38059,1784,Новосибирская область
91,41273,38194,1252,Республика Крым
69,40453,38410,925,Тверская область
76,39271,37512,548,Ярославская область
71,38928,36500,1908,Тульская область
32,38726,37869,311,Брянская область
89,38684,37475,416,Ямало-Ненецкий автономный округ
31,37353,34842,648,Белгородская область
3,37350,36104,863,Республика Бурятия
46,36986,34851,734,Курская область
60,36674,28913,361,Псковская область
2,36136,33683,469,Республика Башкортостан
14,35991,33145,618,Республика Саха (Якутия)
42,35610,34376,682,Кемеровская область
72,35542,33882,487,Тюменская область
37,34902,33045,1163,Ивановская область
57,34530,32497,609,Орловская область
40,34487,32700,320,Калужская область
30,33218,31684,740,Астраханская область
18,33092,29918,863,Удмуртская Республика
5,32682,30303,1464,Республика Дагестан
33,32374,29924,1140,Владимирская область
70,32309,31291,411,Томская область
39,32230,30697,431,Калининградская область
68,31881,29331,489,Тамбовская область
48,30335,27283,677,Липецкая область
53,30174,28637,127,Новгородская область
67,29819,28135,917,Смоленская область
62,28174,26629,471,Рязанская область
21,24627,22444,1386,Республика Чувашия
7,23938,23117,456,Кабардино-Балкарская Республика
65,22632,22197,42,Сахалинская область
19,22512,21642,534,Республика Хакасия
28,22403,21598,287,Амурская область
44,20818,18104,445,Костромская область
16,20738,17712,471,Республика Татарстан
45,20635,19236,401,Курганская область
8,20522,19840,354,Республика Калмыкия
13,20301,18228,250,Республика Мордовия
9,20159,19917,81,Карачаево-Черкесская Республика
4,16834,16538,240,Республика Алтай
15,16801,16136,198,Республика Северная Осетия — Алания
17,15845,15535,202,Республика Тыва
6,15521,13595,188,Республика Ингушетия
41,14519,13861,230,Камчатский край
1,14490,13950,180,Республика Адыгея
92,14239,13132,643,Севастополь
12,13176,12618,232,Республика Марий Эл
20,12073,11766,127,Чеченская Республика
49,8362,8185,102,Магаданская область
79,4472,4293,135,Еврейская автономная область
83,1097,1087,4,Ненецкий автономный округ
87,750,733,7,Чукотский автономный округ
99,4871843,4488615,112992,Всего
