Region Id,Sick,Healed,Die,Region Name
77,1019122,938673,16392,Москва
78,391050,342756,12102,Санкт-Петербург
50,229330,188368,5375,Московская область
52,105987,99723,2792,Нижегородская область
66,81827,75102,2684,Свердловская область
61,79628,71332,3484,Ростовская область
36,74118,68744,2359,Воронежская область
24,66165,61238,3107,Красноярский край
38,60735,57798,1971,Иркутская область
29,59285,54778,813,Архангельская область
63,54736,51441,1055,Самарская область
74,54727,49585,1189,Челябинская область
64,54011,48661,787,Саратовская область
86,53801,52285,781,Ханты-Мансийский АО
34,53040,50752,930,Волгоградская область
59,50653,44768,1918,Пермский край
27,50396,47953,339,Хабаровский край
73,50321,46952,943,Ульяновская область
26,50029,46921,1210,Ставропольский край
51,48698,46836,1063,Мурманская область
22,46620,41670,1760,Алтайский край
10,43419,40570,374,Республика Карелия
55,43318,40044,1299,Омская область
35,42249,39363,889,Вологодская область
25,42088,38061,670,Приморский край
23,41815,36673,2266,Краснодарский край
58,41505,38131,512,Пензенская область
11,41287,40121,795,Республика Коми
75,40771,39251,588,Забайкальский край
56,39600,36358,720,Оренбургская область
47,39371,36880,896,Ленинградская область
43,39294,35570,319,Кировская область
54,38343,35474,1598,Новосибирская область
89,37875,36397,406,Ямало-Ненецкий автономный округ
91,37283,34859,1049,Республика Крым
69,36892,34780,721,Тверская область
71,35793,33208,1499,Тульская область
3,35725,34046,772,Республика Бурятия
76,35647,34060,475,Ярославская область
32,35180,34349,282,Брянская область
60,33962,23202,227,Псковская область
31,33847,31579,549,Белгородская область
46,33541,30296,547,Курская область
14,33436,32319,542,Республика Саха (Якутия)
72,33300,31367,363,Тюменская область
42,33011,32134,604,Кемеровская область
37,32226,30595,1026,Ивановская область
57,32122,29429,499,Орловская область
40,32035,29823,281,Калужская область
2,31817,26640,345,Республика Башкортостан
70,31253,30114,349,Томская область
5,30817,28502,1395,Республика Дагестан
30,30363,27932,653,Астраханская область
18,30264,26896,748,Удмуртская Республика
39,30030,27618,326,Калининградская область
33,29641,26717,990,Владимирская область
68,28953,26507,398,Тамбовская область
53,28473,25443,118,Новгородская область
67,27920,26649,745,Смоленская область
48,27173,23787,510,Липецкая область
62,26044,24091,352,Рязанская область
21,22572,20597,1185,Республика Чувашия
7,22550,21409,409,Кабардино-Балкарская Республика
65,21937,21579,38,Сахалинская область
28,21786,20527,231,Амурская область
19,21769,21026,501,Республика Хакасия
8,19837,18978,311,Республика Калмыкия
9,19590,18455,70,Карачаево-Черкесская Республика
44,19439,16719,385,Костромская область
16,19235,16001,409,Республика Татарстан
45,19014,17261,346,Курганская область
13,18868,16858,197,Республика Мордовия
4,16619,16242,187,Республика Алтай
15,16256,15230,159,Республика Северная Осетия — Алания
17,15755,14859,197,Республика Тыва
6,15068,13337,180,Республика Ингушетия
1,14049,13034,160,Республика Адыгея
41,14046,13068,195,Камчатский край
92,13011,12063,558,Севастополь
12,12435,11567,200,Республика Марий Эл
20,11599,11257,116,Чеченская Республика
49,8247,8012,99,Магаданская область
79,4414,4213,124,Еврейская автономная область
83,1076,1012,4,Ненецкий автономный округ
87,725,686,5,Чукотский автономный округ
99,4501859,4120161,97017,Всего
