Region Id,Sick,Healed,Die,Region Name
77,882962,729089,12322,Москва
78,290908,180438,8721,Санкт-Петербург
50,174620,133874,3217,Московская область
52,76770,69044,1877,Нижегородская область
66,64410,56830,1771,Свердловская область
61,57528,47606,2310,Ростовская область
36,52064,46601,1329,Воронежская область
24,51308,47000,1940,Красноярский край
29,47173,38544,455,Архангельская область
38,44484,39217,1402,Иркутская область
86,44359,40640,602,Ханты-Мансийский АО
73,40105,36863,499,Ульяновская область
27,39793,35523,216,Хабаровский край
51,39735,35365,720,Мурманская область
34,39345,37432,531,Волгоградская область
64,39195,33639,465,Саратовская область
74,39152,26039,634,Челябинская область
26,38709,34679,834,Ставропольский край
22,35950,33147,1019,Алтайский край
63,35724,32885,739,Самарская область
59,35106,28502,1282,Пермский край
89,34178,28214,362,Ямало-Ненецкий автономный округ
55,33862,30611,986,Омская область
11,33768,32085,638,Республика Коми
25,32774,24273,439,Приморский край
10,31694,26093,194,Республика Карелия
56,31347,27706,405,Оренбургская область
75,30745,28587,424,Забайкальский край
23,30572,20899,1161,Краснодарский край
54,30035,26823,1089,Новосибирская область
43,29094,22932,248,Кировская область
58,29084,23229,349,Пензенская область
91,28870,23221,629,Республика Крым
14,28392,25682,410,Республика Саха (Якутия)
35,28067,23413,512,Вологодская область
3,28006,25465,632,Республика Бурятия
42,27590,24789,495,Кемеровская область
47,27130,24338,318,Ленинградская область
60,26757,14579,110,Псковская область
70,26496,23216,235,Томская область
32,26069,23754,220,Брянская область
71,25900,22963,893,Тульская область
5,25839,22499,1176,Республика Дагестан
72,25735,24163,226,Тюменская область
69,25684,21071,484,Тверская область
76,25130,23605,252,Ярославская область
31,24587,22151,293,Белгородская область
57,23985,21218,303,Орловская область
37,23980,19191,634,Ивановская область
40,23479,21422,198,Калужская область
46,23407,20609,326,Курская область
18,22684,19020,434,Удмуртская Республика
30,21588,13880,447,Астраханская область
2,21569,16188,162,Республика Башкортостан
53,21280,15786,100,Новгородская область
33,21035,18416,570,Владимирская область
39,20868,18978,210,Калининградская область
62,20098,18283,203,Рязанская область
68,20045,18081,223,Тамбовская область
67,19436,15184,367,Смоленская область
19,19047,16450,327,Республика Хакасия
48,18494,13796,321,Липецкая область
21,17846,16076,690,Республика Чувашия
65,17826,14807,20,Сахалинская область
28,17736,15818,106,Амурская область
7,17300,15822,291,Кабардино-Балкарская Республика
9,16379,14771,45,Карачаево-Черкесская Республика
8,16152,13447,221,Республика Калмыкия
44,16093,12553,258,Костромская область
17,15085,13896,180,Республика Тыва
13,14765,12265,110,Республика Мордовия
16,14637,11151,221,Республика Татарстан
4,14580,13502,113,Республика Алтай
45,13592,11887,202,Курганская область
15,13260,11786,105,Республика Северная Осетия — Алания
6,13193,11297,151,Республика Ингушетия
1,12146,10138,104,Республика Адыгея
41,11214,9831,82,Камчатский край
20,10040,7132,100,Чеченская Республика
12,9931,8616,136,Республика Марий Эл
92,8130,7377,308,Севастополь
49,7459,7000,73,Магаданская область
79,3957,3450,85,Еврейская автономная область
83,832,726,0,Ненецкий автономный округ
87,578,512,4,Чукотский автономный округ
99,3520531,2909680,64495,Всего
