Region Id,Sick,Healed,Die,Region Name
77,225545,157652,3975,Москва
50,59345,38754,947,Московская область
78,25816,20174,1389,Санкт-Петербург
52,18826,12309,268,Нижегородская область
66,14303,8442,131,Свердловская область
86,10590,5476,72,Ханты-Мансийский АО
61,10166,6869,141,Ростовская область
24,9716,5143,164,Красноярский край
38,8740,3322,69,Иркутская область
36,8505,5000,44,Воронежская область
5,8184,6187,393,Республика Дагестан
74,7989,4150,88,Челябинская область
71,7115,5930,129,Тульская область
64,7040,3773,45,Саратовская область
34,6877,3329,44,Волгоградская область
89,6752,2654,45,Ямало-Ненецкий автономный округ
54,6611,4145,116,Новосибирская область
32,6522,4729,34,Брянская область
73,6415,3541,48,Ульяновская область
23,6340,5032,82,Краснодарский край
40,6321,4004,48,Калужская область
29,6300,3300,68,Архангельская область
51,6038,3704,21,Мурманская область
26,5649,3660,104,Ставропольский край
2,5638,3333,19,Республика Башкортостан
21,5454,3029,40,Республика Чувашия
62,5433,3923,21,Рязанская область
58,5418,4928,50,Пензенская область
63,5399,3126,58,Самарская область
46,5383,3424,39,Курская область
7,5297,4121,57,Кабардино-Балкарская Республика
37,5102,3131,49,Ивановская область
17,5083,1796,13,Республика Тыва
76,5031,3763,19,Ярославская область
68,4988,3229,19,Тамбовская область
31,4857,3982,42,Белгородская область
67,4823,2619,70,Смоленская область
16,4787,3772,13,Республика Татарстан
57,4741,3166,73,Орловская область
47,4740,4202,34,Ленинградская область
25,4732,3077,52,Приморский край
27,4726,2249,32,Хабаровский край
33,4647,3184,77,Владимирская область
22,4538,3264,45,Алтайский край
14,4504,3473,32,Республика Саха (Якутия)
56,4253,3102,22,Оренбургская область
15,4135,3584,67,Республика Северная Осетия — Алания
55,4120,2209,35,Омская область
59,4017,2945,85,Пермский край
48,3992,2561,18,Липецкая область
69,3873,2854,83,Тверская область
9,3850,1877,15,Карачаево-Черкесская Республика
11,3762,1972,35,Республика Коми
30,3698,2404,33,Астраханская область
13,3611,2437,27,Республика Мордовия
72,3560,2141,18,Тюменская область
43,3459,2969,42,Кировская область
75,3399,2329,44,Забайкальский край
6,3169,2497,69,Республика Ингушетия
53,3142,974,28,Новгородская область
3,3141,2224,22,Республика Бурятия
12,3128,2857,24,Республика Марий Эл
60,3044,1400,28,Псковская область
70,2608,1403,20,Томская область
39,2539,1647,39,Калининградская область
41,2469,1400,28,Камчатский край
1,2121,1502,14,Республика Адыгея
19,2083,1450,18,Республика Хакасия
42,2018,936,10,Кемеровская область
8,1947,1118,26,Республика Калмыкия
28,1889,937,16,Амурская область
20,1786,1214,24,Чеченская Республика
35,1730,1313,17,Вологодская область
44,1696,1051,21,Костромская область
18,1537,1139,17,Удмуртская Республика
10,1514,680,3,Республика Карелия
45,1000,550,1,Курганская область
65,993,364,0,Сахалинская область
49,935,526,4,Магаданская область
4,869,397,1,Республика Алтай
91,761,568,11,Республика Крым
79,441,362,6,Еврейская автономная область
92,249,191,5,Севастополь
83,158,40,0,Ненецкий автономный округ
87,140,135,1,Чукотский автономный округ
99,687862,454329,10296,Всего
