Region Id,Sick,Healed,Die,Region Name
77,152306,36936,1726,Москва
50,30091,3897,285,Московская область
78,11795,2480,99,Санкт-Петербург
52,7209,1637,49,Нижегородская область
5,3643,2266,36,Республика Дагестан
66,3134,890,8,Свердловская область
23,2883,1540,26,Краснодарский край
61,2784,989,33,Ростовская область
40,2750,664,20,Калужская область
71,2735,920,20,Тульская область
51,2714,1425,7,Мурманская область
62,2577,452,7,Рязанская область
32,2515,1129,31,Брянская область
16,2475,1452,8,Республика Татарстан
24,2445,614,21,Красноярский край
2,2335,714,18,Республика Башкортостан
15,2314,1164,18,Республика Северная Осетия — Алания
47,2208,803,8,Ленинградская область
46,2177,661,7,Курская область
68,2154,635,5,Тамбовская область
76,2073,386,12,Ярославская область
64,2072,486,12,Саратовская область
33,1986,267,15,Владимирская область
7,1952,515,7,Кабардино-Балкарская Республика
21,1936,599,8,Республика Чувашия
89,1838,281,5,Ямало-Ненецкий автономный округ
34,1831,590,13,Волгоградская область
74,1829,644,10,Челябинская область
54,1805,730,22,Новосибирская область
63,1666,419,11,Самарская область
26,1659,598,32,Ставропольский край
6,1605,607,35,Республика Ингушетия
57,1598,576,10,Орловская область
73,1526,372,6,Ульяновская область
13,1477,463,9,Республика Мордовия
25,1446,487,14,Приморский край
31,1428,443,12,Белгородская область
56,1392,760,5,Оренбургская область
27,1380,617,9,Хабаровский край
48,1377,341,4,Липецкая область
86,1371,478,12,Ханты-Мансийский АО
37,1360,426,16,Ивановская область
67,1357,410,12,Смоленская область
12,1322,959,8,Республика Марий Эл
58,1317,944,12,Пензенская область
72,1267,488,7,Тюменская область
36,1266,758,13,Воронежская область
59,1178,600,13,Пермский край
69,1164,649,11,Тверская область
30,1154,546,7,Астраханская область
43,1064,647,5,Кировская область
22,1054,555,6,Алтайский край
39,1042,459,11,Калининградская область
11,1019,446,18,Республика Коми
3,1015,403,6,Республика Бурятия
20,1005,620,11,Чеченская Республика
14,960,372,5,Республика Саха (Якутия)
29,817,315,4,Архангельская область
38,746,169,6,Иркутская область
8,744,262,10,Республика Калмыкия
55,717,115,7,Омская область
19,695,329,10,Республика Хакасия
53,695,217,5,Новгородская область
9,689,222,4,Карачаево-Черкесская Республика
75,615,268,7,Забайкальский край
41,536,143,2,Камчатский край
1,525,263,8,Республика Адыгея
44,516,243,6,Костромская область
35,502,204,3,Вологодская область
60,461,161,9,Псковская область
18,458,270,12,Удмуртская Республика
70,409,103,4,Томская область
17,407,49,1,Республика Тыва
42,342,126,7,Кемеровская область
91,298,122,2,Республика Крым
28,277,71,1,Амурская область
79,246,89,2,Еврейская автономная область
10,241,64,1,Республика Карелия
49,201,127,3,Магаданская область
92,147,101,2,Севастополь
45,133,54,0,Курганская область
4,82,37,0,Республика Алтай
83,58,7,0,Ненецкий автономный округ
65,57,29,0,Сахалинская область
87,56,23,0,Чукотский автономный округ
99,308705,85392,2972,Всего
