Region Id,Sick,Healed,Die,Region Name
77,1529350,1392213,26248,Москва
78,545893,517896,19708,Санкт-Петербург
50,398698,328618,7462,Московская область
52,145456,132302,5300,Нижегородская область
61,113739,99999,5386,Ростовская область
66,112093,103925,4553,Свердловская область
36,108321,98716,3604,Воронежская область
24,95207,80965,4656,Красноярский край
38,89015,74950,3958,Иркутская область
63,80490,72707,2779,Самарская область
59,77310,67946,3489,Пермский край
74,76661,68438,2305,Челябинская область
29,75921,70956,1088,Архангельская область
64,75394,70123,1897,Саратовская область
34,74164,65940,1954,Волгоградская область
27,68285,61926,654,Хабаровский край
73,68031,63117,2062,Ульяновская область
26,67547,57989,1965,Ставропольский край
86,67024,63010,984,Ханты-Мансийский АО
55,64722,55949,1722,Омская область
22,64575,50044,3121,Алтайский край
51,64008,51627,1638,Мурманская область
91,63233,52667,1882,Республика Крым
23,61399,47760,4499,Краснодарский край
56,59427,49007,1342,Оренбургская область
75,58750,52265,993,Забайкальский край
58,58315,46850,1793,Пензенская область
47,58217,47930,2233,Ленинградская область
11,57686,48827,1274,Республика Коми
10,57313,53862,739,Республика Карелия
25,56888,50528,959,Приморский край
35,56799,50607,1446,Вологодская область
32,56296,51383,876,Брянская область
69,55887,47675,1367,Тверская область
54,54495,45607,2427,Новосибирская область
3,53897,47816,1739,Республика Бурятия
76,51515,44545,895,Ярославская область
43,51412,48153,446,Кировская область
2,50612,46223,847,Республика Башкортостан
72,49120,44961,1065,Тюменская область
71,48613,41657,2518,Тульская область
46,48175,44768,1147,Курская область
42,47661,44924,1024,Кемеровская область
30,45961,37367,1199,Астраханская область
31,45911,42386,934,Белгородская область
14,45878,40046,928,Республика Саха (Якутия)
33,45065,41661,1513,Владимирская область
39,44820,41409,581,Калининградская область
89,44816,42601,515,Ямало-Ненецкий автономный округ
60,44656,37313,599,Псковская область
5,43512,38811,1882,Республика Дагестан
67,42704,35504,1372,Смоленская область
37,42468,38977,1413,Ивановская область
40,42335,39379,509,Калужская область
48,41887,35670,1221,Липецкая область
18,41540,34208,1266,Удмуртская Республика
57,40981,38503,880,Орловская область
68,38525,36269,721,Тамбовская область
70,38265,33799,520,Томская область
53,37685,35019,265,Новгородская область
62,36279,33506,837,Рязанская область
19,31858,26769,810,Республика Хакасия
21,29972,27285,1797,Республика Чувашия
28,28966,25371,356,Амурская область
44,28409,23355,628,Костромская область
65,28398,26392,157,Сахалинская область
7,27793,25879,623,Кабардино-Балкарская Республика
45,26939,24328,520,Курганская область
8,25832,22377,496,Республика Калмыкия
13,24494,21459,427,Республика Мордовия
16,24387,21555,633,Республика Татарстан
9,22901,20850,348,Карачаево-Черкесская Республика
17,22690,18301,237,Республика Тыва
92,22482,19346,908,Севастополь
4,19846,18361,279,Республика Алтай
15,19332,17475,282,Республика Северная Осетия — Алания
6,18147,16589,234,Республика Ингушетия
41,17271,14640,242,Камчатский край
20,17080,13445,368,Чеченская Республика
1,16809,15417,303,Республика Адыгея
12,16627,14996,412,Республика Марий Эл
49,9746,8877,177,Магаданская область
79,6086,4599,188,Еврейская автономная область
83,1684,1590,17,Ненецкий автономный округ
87,1259,926,9,Чукотский автономный округ
99,6469910,5769981,165650,Всего
