Region Id,Sick,Healed,Die,Region Name
77,1568767,1448644,27492,Москва
78,577655,553799,20617,Санкт-Петербург
50,422826,364990,7799,Московская область
52,156454,143720,5870,Нижегородская область
61,124890,107851,6015,Ростовская область
66,124101,114556,5228,Свердловская область
36,119026,103025,4020,Воронежская область
24,105492,91754,5170,Красноярский край
38,98164,83570,4446,Иркутская область
63,90641,77969,3250,Самарская область
59,88239,77792,4113,Пермский край
74,85335,74967,2769,Челябинская область
34,82067,72807,2307,Волгоградская область
29,81813,74208,1138,Архангельская область
64,81072,75079,2342,Саратовская область
26,75586,62293,2349,Ставропольский край
27,75501,69335,696,Хабаровский край
73,74597,67243,2316,Ульяновская область
55,73661,60601,1923,Омская область
91,71348,60885,2211,Республика Крым
86,70696,67020,1063,Ханты-Мансийский АО
22,70673,53626,3592,Алтайский край
51,68316,53091,1837,Мурманская область
56,67479,55727,1561,Оренбургская область
23,67215,49371,5265,Краснодарский край
75,63958,56143,1061,Забайкальский край
58,63764,52253,2178,Пензенская область
11,63601,54805,1477,Республика Коми
47,63295,49983,2411,Ленинградская область
25,62518,55681,1049,Приморский край
35,62010,55463,1627,Вологодская область
10,61114,57920,779,Республика Карелия
69,60850,54129,1540,Тверская область
32,60743,56330,1135,Брянская область
54,58672,47830,2667,Новосибирская область
2,57353,51982,1130,Республика Башкортостан
3,56414,48795,1790,Республика Бурятия
76,55974,47947,1025,Ярославская область
72,55149,48619,1467,Тюменская область
43,54152,49949,481,Кировская область
30,52580,40389,1446,Астраханская область
46,52423,47364,1280,Курская область
42,51870,49249,1143,Кемеровская область
71,51468,43914,2721,Тульская область
33,49395,45117,1712,Владимирская область
31,49237,45479,1010,Белгородская область
14,49186,41851,1058,Республика Саха (Якутия)
39,48914,44985,622,Калининградская область
5,47932,43295,2230,Республика Дагестан
89,47670,45689,621,Ямало-Ненецкий автономный округ
48,47079,40559,1410,Липецкая область
60,46983,40401,685,Псковская область
18,46571,38142,1575,Удмуртская Республика
67,45665,41014,1504,Смоленская область
37,45331,41695,1479,Ивановская область
40,45096,41501,593,Калужская область
57,43304,40082,943,Орловская область
70,40914,34901,544,Томская область
68,40639,38523,790,Тамбовская область
53,40587,37356,371,Новгородская область
62,39024,35442,949,Рязанская область
19,35491,31576,961,Республика Хакасия
28,32032,26638,395,Амурская область
21,31763,28823,2022,Республика Чувашия
44,31125,25358,690,Костромская область
65,30687,29271,216,Сахалинская область
45,29905,26134,609,Курганская область
7,29805,27807,714,Кабардино-Балкарская Республика
8,28182,25025,543,Республика Калмыкия
92,27333,24750,1022,Севастополь
13,26105,22661,485,Республика Мордовия
16,25511,22301,682,Республика Татарстан
17,24908,19543,245,Республика Тыва
9,24078,21634,464,Карачаево-Черкесская Республика
15,20943,18113,408,Республика Северная Осетия — Алания
4,20689,19356,313,Республика Алтай
20,20590,18399,493,Чеченская Республика
6,19711,18191,279,Республика Ингушетия
41,18449,15042,259,Камчатский край
1,18131,16156,347,Республика Адыгея
12,18028,16114,501,Республика Марий Эл
49,10370,9354,225,Магаданская область
79,7003,5445,204,Еврейская автономная область
83,1943,1877,34,Ненецкий автономный округ
87,1502,1111,11,Чукотский автономный округ
99,6937333,6199379,184014,Всего
