Region Id,Sick,Healed,Die,Region Name
77,85973,8458,866,Москва
50,16590,611,141,Московская область
78,5884,1532,40,Санкт-Петербург
52,3298,422,16,Нижегородская область
5,2267,356,15,Республика Дагестан
51,2237,161,4,Мурманская область
23,1534,467,21,Краснодарский край
71,1445,187,9,Тульская область
61,1434,168,12,Ростовская область
40,1407,170,12,Калужская область
32,1367,369,12,Брянская область
66,1353,193,3,Свердловская область
62,1310,89,5,Рязанская область
16,1310,168,3,Республика Татарстан
15,1253,158,7,Республика Северная Осетия — Алания
47,1200,266,3,Ленинградская область
2,1160,259,14,Республика Башкортостан
46,1129,176,4,Курская область
6,1018,198,27,Республика Ингушетия
33,1001,43,12,Владимирская область
13,977,140,5,Республика Мордовия
68,971,134,2,Тамбовская область
7,925,147,3,Кабардино-Балкарская Республика
89,925,137,3,Ямало-Ненецкий автономный округ
24,910,162,12,Красноярский край
21,892,161,8,Республика Чувашия
76,880,128,11,Ярославская область
26,864,200,20,Ставропольский край
64,835,133,3,Саратовская область
57,813,139,7,Орловская область
74,812,111,3,Челябинская область
54,809,184,11,Новосибирская область
12,783,458,4,Республика Марий Эл
56,767,217,4,Оренбургская область
69,753,197,8,Тверская область
27,738,204,7,Хабаровский край
11,726,129,7,Республика Коми
36,697,148,12,Воронежская область
25,684,112,8,Приморский край
63,676,72,6,Самарская область
59,673,218,9,Пермский край
43,661,103,4,Кировская область
72,658,215,4,Тюменская область
48,656,148,2,Липецкая область
34,647,109,12,Волгоградская область
20,645,316,8,Чеченская Республика
58,601,199,8,Пензенская область
22,588,110,3,Алтайский край
39,583,143,11,Калининградская область
73,573,89,4,Ульяновская область
30,564,113,6,Астраханская область
31,540,71,5,Белгородская область
37,537,102,7,Ивановская область
86,537,161,4,Ханты-Мансийский АО
67,535,91,5,Смоленская область
9,457,40,2,Карачаево-Черкесская Республика
3,450,133,4,Республика Бурятия
53,417,56,5,Новгородская область
8,351,54,5,Республика Калмыкия
14,348,46,4,Республика Саха (Якутия)
41,348,44,0,Камчатский край
18,344,69,10,Удмуртская Республика
19,340,35,8,Республика Хакасия
29,329,115,1,Архангельская область
44,293,68,3,Костромская область
75,238,83,0,Забайкальский край
35,236,82,1,Вологодская область
38,231,67,4,Иркутская область
60,226,35,8,Псковская область
1,202,107,7,Республика Адыгея
55,197,40,3,Омская область
42,180,26,4,Кемеровская область
70,160,34,1,Томская область
79,153,20,0,Еврейская автономная область
49,136,56,2,Магаданская область
91,128,40,0,Республика Крым
28,106,16,1,Амурская область
92,104,15,2,Севастополь
10,103,17,0,Республика Карелия
45,56,22,0,Курганская область
17,51,29,0,Республика Тыва
83,47,1,0,Ненецкий автономный округ
4,38,3,0,Республика Алтай
65,29,20,0,Сахалинская область
87,26,2,0,Чукотский автономный округ
99,165929,21327,1537,Всего
