Region Id,Sick,Healed,Die,Region Name
77,715241,551207,10171,Москва
78,189543,108731,6608,Санкт-Петербург
50,133645,94369,2611,Московская область
52,62799,56008,1424,Нижегородская область
66,52933,45222,1279,Свердловская область
61,46225,37142,1758,Ростовская область
24,41919,35000,1449,Красноярский край
36,40779,39143,881,Воронежская область
86,38159,33959,486,Ханты-Мансийский АО
29,37998,28771,381,Архангельская область
38,36734,32204,1025,Иркутская область
73,32349,29536,415,Ульяновская область
51,32258,29476,574,Мурманская область
26,31683,28092,649,Ставропольский край
34,31577,29967,388,Волгоградская область
64,31565,26819,334,Саратовская область
74,30356,22806,424,Челябинская область
27,30307,24760,191,Хабаровский край
22,29899,27334,723,Алтайский край
89,29603,21654,297,Ямало-Ненецкий автономный округ
63,27116,24921,523,Самарская область
55,26695,24063,766,Омская область
11,26371,22925,483,Республика Коми
56,26248,22844,282,Оренбургская область
59,25995,20110,916,Пермский край
25,25944,18316,308,Приморский край
54,25634,21367,860,Новосибирская область
23,25107,16987,750,Краснодарский край
75,23725,21628,346,Забайкальский край
42,23685,20410,437,Кемеровская область
14,23637,21126,333,Республика Саха (Якутия)
58,23290,19285,283,Пензенская область
3,22902,20770,524,Республика Бурятия
10,22287,14813,133,Республика Карелия
43,22241,15571,214,Кировская область
70,21797,17135,198,Томская область
5,21278,18368,1051,Республика Дагестан
72,21077,19747,174,Тюменская область
47,20626,18531,189,Ленинградская область
91,20339,15611,398,Республика Крым
32,20321,18214,169,Брянская область
71,19934,17457,598,Тульская область
76,19637,18389,130,Ярославская область
31,19244,17242,183,Белгородская область
69,18962,13758,426,Тверская область
57,18870,16824,233,Орловская область
37,18688,13730,391,Ивановская область
40,18668,17412,134,Калужская область
35,18360,13715,311,Вологодская область
46,18231,16462,253,Курская область
60,17666,9064,89,Псковская область
2,16785,13464,114,Республика Башкортостан
18,16658,13214,349,Удмуртская Республика
30,16499,11452,321,Астраханская область
62,16229,14786,120,Рязанская область
33,16014,14344,409,Владимирская область
68,15506,13703,150,Тамбовская область
53,15383,11254,97,Новгородская область
19,15128,12110,179,Республика Хакасия
39,14880,11634,142,Калининградская область
67,14833,10951,302,Смоленская область
21,14697,13121,391,Республика Чувашия
7,14400,12183,246,Кабардино-Балкарская Республика
28,13911,12373,105,Амурская область
17,13882,12702,150,Республика Тыва
9,13838,12304,37,Карачаево-Черкесская Республика
48,13748,10611,187,Липецкая область
65,13691,10678,12,Сахалинская область
44,13426,9989,203,Костромская область
8,13337,11040,177,Республика Калмыкия
4,12729,12220,65,Республика Алтай
13,12262,10014,79,Республика Мордовия
16,11878,10416,167,Республика Татарстан
6,10902,9241,123,Республика Ингушетия
15,10779,9564,83,Республика Северная Осетия — Алания
45,10503,9232,133,Курганская область
1,9744,7713,75,Республика Адыгея
41,9013,7954,82,Камчатский край
12,8458,7513,109,Республика Марий Эл
20,6734,3168,85,Чеченская Республика
49,6438,5906,58,Магаданская область
92,5602,5233,185,Севастополь
79,3428,2369,59,Еврейская автономная область
83,735,677,0,Ненецкий автономный округ
87,471,412,4,Чукотский автономный округ
99,2762668,2202540,49151,Всего
