Region Id,Sick,Healed,Die,Region Name
77,1608166,1477350,28497,Москва
78,606116,571738,21407,Санкт-Петербург
50,439673,384699,8092,Московская область
52,165395,152163,6377,Нижегородская область
66,134773,124293,5976,Свердловская область
61,134766,116705,6588,Ростовская область
36,128980,108286,4396,Воронежская область
24,113206,99999,5650,Красноярский край
38,106056,94564,4722,Иркутская область
63,100629,83326,3712,Самарская область
59,97780,86772,4635,Пермский край
74,93051,80666,3208,Челябинская область
34,89294,79419,2636,Волгоградская область
29,87242,80599,1172,Архангельская область
64,86395,78936,2772,Саратовская область
26,83032,65813,2797,Ставропольский край
27,81752,75569,770,Хабаровский край
55,81541,65926,2128,Омская область
73,80570,71551,2509,Ульяновская область
91,76518,65975,2488,Республика Крым
22,75680,58567,4041,Алтайский край
56,74588,62921,1821,Оренбургская область
86,73799,70273,1091,Ханты-Мансийский АО
23,72146,51643,5961,Краснодарский край
51,71316,54392,2017,Мурманская область
58,68648,56983,2540,Пензенская область
11,68298,62898,1659,Республика Коми
75,67458,58982,1135,Забайкальский край
47,67325,51781,2449,Ленинградская область
25,67209,59702,1122,Приморский край
35,66738,60177,1796,Вологодская область
69,64946,57894,1612,Тверская область
10,64166,61190,837,Республика Карелия
32,64023,59551,1360,Брянская область
2,63852,55706,1457,Республика Башкортостан
54,62191,49711,2891,Новосибирская область
76,59946,52291,1153,Ярославская область
72,59909,52394,1886,Тюменская область
3,58150,49784,1822,Республика Бурятия
30,58078,44458,1618,Астраханская область
43,56537,52294,520,Кировская область
46,56039,50808,1404,Курская область
42,55402,52974,1252,Кемеровская область
71,53688,46034,2936,Тульская область
39,52973,48268,717,Калининградская область
33,52767,48748,1920,Владимирская область
14,52538,42323,1162,Республика Саха (Якутия)
31,52442,48374,1116,Белгородская область
18,51341,41773,1873,Удмуртская Республика
48,51266,44654,1588,Липецкая область
5,50935,46872,2449,Республика Дагестан
89,49684,47875,676,Ямало-Ненецкий автономный округ
60,49065,42389,750,Псковская область
67,48591,43559,1646,Смоленская область
37,47798,44205,1569,Ивановская область
40,47240,44560,677,Калужская область
57,45113,42221,1002,Орловская область
53,43241,39661,424,Новгородская область
70,42928,36092,559,Томская область
68,42590,40523,865,Тамбовская область
62,41256,37775,1063,Рязанская область
19,37850,34474,1065,Республика Хакасия
28,34532,28205,434,Амурская область
21,33317,30174,2230,Республика Чувашия
44,32847,27091,751,Костромская область
65,32490,31546,283,Сахалинская область
45,32400,29090,682,Курганская область
7,31308,29515,773,Кабардино-Балкарская Республика
8,29905,27467,582,Республика Калмыкия
92,29490,27164,1105,Севастополь
13,27537,23767,539,Республика Мордовия
16,26587,22984,721,Республика Татарстан
17,26201,21562,278,Республика Тыва
9,25052,22359,562,Карачаево-Черкесская Республика
15,22391,19681,580,Республика Северная Осетия — Алания
20,22091,20414,569,Чеченская Республика
4,21303,20312,349,Республика Алтай
6,21002,19191,311,Республика Ингушетия
41,19399,15425,312,Камчатский край
1,19250,17022,406,Республика Адыгея
12,19224,17460,571,Республика Марий Эл
49,10872,9969,249,Магаданская область
79,7744,6310,249,Еврейская автономная область
83,2191,2052,42,Ненецкий автономный округ
87,1739,1350,14,Чукотский автономный округ
99,7333557,6542213,200625,Всего
