Region Id,Sick,Healed,Die,Region Name
77,228000,163093,4087,Москва
50,60107,40299,992,Московская область
78,26981,20890,1541,Санкт-Петербург
52,19684,13734,282,Нижегородская область
66,15343,9522,154,Свердловская область
86,11669,6398,85,Ханты-Мансийский АО
61,10533,7760,156,Ростовская область
24,10235,6315,212,Красноярский край
38,9679,4196,87,Иркутская область
36,9036,6146,59,Воронежская область
74,8520,4747,88,Челябинская область
5,8374,6571,407,Республика Дагестан
89,7547,2930,52,Ямало-Ненецкий автономный округ
64,7417,4116,47,Саратовская область
71,7376,6079,145,Тульская область
34,7240,3837,47,Волгоградская область
54,7043,4869,133,Новосибирская область
73,6836,4125,52,Ульяновская область
29,6759,3800,86,Архангельская область
51,6685,3889,26,Мурманская область
32,6679,4965,35,Брянская область
23,6589,5574,83,Краснодарский край
40,6509,4495,50,Калужская область
26,5975,3771,114,Ставропольский край
2,5826,3919,19,Республика Башкортостан
63,5721,3504,61,Самарская область
21,5718,3132,43,Республика Чувашия
58,5663,5126,60,Пензенская область
62,5585,4375,21,Рязанская область
46,5560,3725,45,Курская область
7,5477,4584,60,Кабардино-Балкарская Республика
37,5371,3350,55,Ивановская область
22,5361,3691,49,Алтайский край
17,5325,2023,31,Республика Тыва
76,5190,4214,22,Ярославская область
68,5157,3604,19,Тамбовская область
27,5114,2562,36,Хабаровский край
31,5038,4436,42,Белгородская область
67,4986,2856,75,Смоленская область
25,4959,3509,57,Приморский край
47,4942,4234,36,Ленинградская область
57,4930,3546,75,Орловская область
16,4929,3833,15,Республика Татарстан
33,4829,3652,86,Владимирская область
14,4710,3999,35,Республика Саха (Якутия)
56,4610,3394,27,Оренбургская область
55,4469,2581,40,Омская область
59,4282,3310,91,Пермский край
15,4209,3647,67,Республика Северная Осетия — Алания
48,4125,2813,19,Липецкая область
11,4107,2228,35,Республика Коми
69,4001,3231,94,Тверская область
9,3988,2263,15,Карачаево-Черкесская Республика
72,3870,2374,18,Тюменская область
30,3842,2559,35,Астраханская область
13,3755,2660,28,Республика Мордовия
43,3669,3234,42,Кировская область
75,3555,2642,44,Забайкальский край
3,3298,2425,24,Республика Бурятия
53,3296,1254,39,Новгородская область
6,3253,2515,71,Республика Ингушетия
12,3241,2883,26,Республика Марий Эл
60,3172,1769,34,Псковская область
70,2846,1613,22,Томская область
41,2640,1619,29,Камчатский край
39,2591,1785,41,Калининградская область
42,2280,1066,11,Кемеровская область
19,2236,1678,19,Республика Хакасия
1,2205,1671,14,Республика Адыгея
8,2073,1225,27,Республика Калмыкия
28,2019,1091,23,Амурская область
35,1818,1447,19,Вологодская область
44,1814,1176,22,Костромская область
20,1814,1238,26,Чеченская Республика
10,1656,793,3,Республика Карелия
18,1652,1329,19,Удмуртская Республика
65,1240,472,0,Сахалинская область
45,1240,626,2,Курганская область
49,1001,576,4,Магаданская область
4,993,496,1,Республика Алтай
91,815,636,12,Республика Крым
79,462,376,6,Еврейская автономная область
92,258,198,5,Севастополь
83,190,43,0,Ненецкий автономный округ
87,144,137,1,Чукотский автономный округ
99,713936,489068,11017,Всего
