Region Id,Sick,Healed,Die,Region Name
77,1918633,1729001,33352,Москва
78,771133,700667,25576,Санкт-Петербург
50,572410,504111,9933,Московская область
52,207736,180515,8541,Нижегородская область
66,172738,152486,8129,Свердловская область
36,170518,122130,5481,Воронежская область
61,169700,144451,8391,Ростовская область
63,169174,121735,5206,Самарская область
24,146264,129925,7192,Красноярский край
59,134535,113883,6610,Пермский край
38,133326,109516,5967,Иркутская область
74,121052,98513,4869,Челябинская область
64,114735,99168,4403,Саратовская область
91,113902,101578,3398,Республика Крым
34,113730,97965,4251,Волгоградская область
29,109963,100382,1335,Архангельская область
55,109293,84919,2701,Омская область
26,108246,82588,4887,Ставропольский край
73,106909,97385,3242,Ульяновская область
27,104857,91969,998,Хабаровский край
2,100329,89202,3249,Республика Башкортостан
22,99313,70251,5498,Алтайский край
56,97757,82419,3013,Оренбургская область
23,91823,63892,8459,Краснодарский край
58,88377,60918,4033,Пензенская область
86,87533,80174,1607,Ханты-Мансийский АО
11,87037,71829,2200,Республика Коми
47,86832,67638,2714,Ленинградская область
32,86691,77761,2142,Брянская область
35,86584,76325,2456,Вологодская область
69,85000,72531,2025,Тверская область
75,84587,71202,1550,Забайкальский край
51,84492,65046,2488,Мурманская область
25,84002,73269,1356,Приморский край
10,80834,76444,1051,Республика Карелия
54,79167,56536,3665,Новосибирская область
72,77983,60903,2658,Тюменская область
76,74890,60472,1508,Ярославская область
67,74045,52024,2075,Смоленская область
46,73552,60952,1733,Курская область
39,72818,64020,975,Калининградская область
18,71866,60918,2964,Удмуртская Республика
30,71694,62273,2141,Астраханская область
48,71076,63491,2317,Липецкая область
42,70580,65873,1541,Кемеровская область
31,69751,59174,1446,Белгородская область
33,69609,53866,2401,Владимирская область
43,69281,60797,658,Кировская область
14,68124,60110,1640,Республика Саха (Якутия)
3,67450,60123,2115,Республика Бурятия
71,65683,57425,3793,Тульская область
60,63801,55109,1025,Псковская область
57,60405,48889,1231,Орловская область
37,60128,50951,2037,Ивановская область
5,59571,54871,2883,Республика Дагестан
40,57308,53835,981,Калужская область
89,57230,52000,828,Ямало-Ненецкий автономный округ
53,56796,47580,566,Новгородская область
70,53546,39254,617,Томская область
62,53318,44167,1796,Рязанская область
68,52776,49576,1325,Тамбовская область
19,48208,39626,1533,Республика Хакасия
92,46358,39629,1590,Севастополь
28,44222,35035,509,Амурская область
45,43228,34495,843,Курганская область
44,42915,34574,966,Костромская область
21,41518,36267,3135,Республика Чувашия
7,37888,34580,1108,Кабардино-Балкарская Республика
65,36909,35587,417,Сахалинская область
16,35794,28879,1164,Республика Татарстан
13,35216,29169,840,Республика Мордовия
8,33194,31567,685,Республика Калмыкия
17,30053,26158,291,Республика Тыва
9,29339,25332,837,Карачаево-Черкесская Республика
20,27693,25731,788,Чеченская Республика
15,27677,23797,728,Республика Северная Осетия — Алания
6,25398,23547,411,Республика Ингушетия
12,25182,20803,733,Республика Марий Эл
4,24003,21320,443,Республика Алтай
1,23350,19839,654,Республика Адыгея
41,21975,16668,476,Камчатский край
49,12468,11493,302,Магаданская область
79,10208,8707,325,Еврейская автономная область
83,3107,2792,72,Ненецкий автономный округ
87,2762,2358,23,Чукотский автономный округ
99,9331158,8024930,264095,Всего
