Region Id,Sick,Healed,Die,Region Name
77,1332214,1139840,21972,Москва
78,464142,439041,15900,Санкт-Петербург
50,303795,248057,6439,Московская область
52,123483,115711,4117,Нижегородская область
61,98443,89894,4656,Ростовская область
66,92933,86625,3777,Свердловская область
36,89456,84685,3169,Воронежская область
24,76741,69890,3922,Красноярский край
38,73216,68950,2663,Иркутская область
63,66862,63763,2233,Самарская область
29,66290,63490,1028,Архангельская область
64,65703,62513,1285,Саратовская область
74,64300,60417,1763,Челябинская область
34,62241,58978,1491,Волгоградская область
59,60432,54545,2663,Пермский край
86,59410,57600,808,Ханты-Мансийский АО
73,58339,55752,1649,Ульяновская область
26,56651,53651,1647,Ставропольский край
27,54739,52049,472,Хабаровский край
22,53715,47152,2421,Алтайский край
51,53349,49066,1291,Мурманская область
23,51195,45179,3353,Краснодарский край
55,49924,47358,1489,Омская область
10,49312,47189,617,Республика Карелия
58,49305,45425,991,Пензенская область
47,48079,44552,1706,Ленинградская область
35,47554,44055,1152,Вологодская область
91,47276,42932,1481,Республика Крым
56,46579,42549,1087,Оренбургская область
43,46307,43772,387,Кировская область
25,46300,42376,768,Приморский край
54,46168,41274,2029,Новосибирская область
11,45834,44044,997,Республика Коми
75,45700,43022,717,Забайкальский край
69,45067,41051,1172,Тверская область
76,43351,40740,690,Ярославская область
32,43266,41505,459,Брянская область
3,43009,40187,1143,Республика Бурятия
71,42161,39063,2189,Тульская область
14,40974,37400,761,Республика Саха (Якутия)
2,40791,38467,581,Республика Башкортостан
31,40503,38525,742,Белгородская область
46,40275,38575,916,Курская область
89,39840,38615,429,Ямало-Ненецкий автономный округ
42,39304,37455,799,Кемеровская область
60,39173,33224,458,Псковская область
72,38549,36917,653,Тюменская область
37,37907,35692,1279,Ивановская область
40,37093,35422,367,Калужская область
57,37033,35142,735,Орловская область
39,35677,34389,540,Калининградская область
30,35588,34097,844,Астраханская область
33,35384,32858,1268,Владимирская область
18,35290,32058,1037,Удмуртская Республика
5,35287,32397,1535,Республика Дагестан
68,34493,32989,596,Тамбовская область
70,33913,32225,464,Томская область
67,33623,31208,1101,Смоленская область
48,33183,30118,871,Липецкая область
53,31970,31085,183,Новгородская область
62,30718,29128,593,Рязанская область
21,27070,24741,1525,Республика Чувашия
7,24784,23921,491,Кабардино-Балкарская Республика
19,24534,23014,581,Республика Хакасия
65,24256,23306,62,Сахалинская область
28,23761,23003,303,Амурская область
44,22810,19649,509,Костромская область
16,22286,20069,534,Республика Татарстан
45,22207,21190,442,Курганская область
13,21804,19545,322,Республика Мордовия
8,21416,20633,406,Республика Калмыкия
9,20808,20345,171,Карачаево-Черкесская Республика
4,17664,16975,248,Республика Алтай
15,17248,16546,230,Республика Северная Осетия — Алания
17,16276,15913,210,Республика Тыва
92,16160,14504,723,Севастополь
6,16084,15656,192,Республика Ингушетия
41,15117,14112,238,Камчатский край
1,14948,14389,237,Республика Адыгея
12,14161,13612,282,Республика Марий Эл
20,12655,12300,152,Чеченская Республика
49,8648,8385,117,Магаданская область
79,4658,4371,150,Еврейская автономная область
83,1186,1128,5,Ненецкий автономный округ
87,803,751,8,Чукотский автономный округ
99,5430753,4943986,132683,Всего
