Region Id,Sick,Healed,Die,Region Name
77,307477,253944,5370,Москва
50,74970,57166,1369,Московская область
78,44765,29947,3073,Санкт-Петербург
52,33374,28720,590,Нижегородская область
66,29987,22270,615,Свердловская область
86,23280,21447,192,Ханты-Мансийский АО
61,23049,18175,541,Ростовская область
24,20587,15577,561,Красноярский край
38,19570,16421,302,Иркутская область
36,18888,16690,190,Воронежская область
26,16827,12008,332,Ставропольский край
73,16155,13554,173,Ульяновская область
64,16140,10849,112,Саратовская область
74,16093,11927,138,Челябинская область
89,16089,13528,101,Ямало-Ненецкий автономный округ
34,15735,13698,152,Волгоградская область
51,15486,12707,225,Мурманская область
23,14482,10664,293,Краснодарский край
22,14334,12820,221,Алтайский край
29,14251,10260,262,Архангельская область
5,13852,11980,647,Республика Дагестан
54,13543,12177,469,Новосибирская область
56,13415,12142,87,Оренбургская область
27,12476,9924,108,Хабаровский край
63,12332,9611,203,Самарская область
25,12123,10402,120,Приморский край
55,11509,10145,312,Омская область
58,11357,9163,137,Пензенская область
42,10681,7612,113,Кемеровская область
71,10347,9347,381,Тульская область
59,10248,6973,292,Пермский край
72,9955,7725,40,Тюменская область
14,9839,7178,97,Республика Саха (Якутия)
32,9747,7838,38,Брянская область
40,9519,7747,74,Калужская область
31,9200,8192,58,Белгородская область
37,9014,7078,138,Ивановская область
2,9007,8560,42,Республика Башкортостан
57,8933,7179,132,Орловская область
43,8903,5830,136,Кировская область
76,8874,8218,47,Ярославская область
11,8848,7207,120,Республика Коми
21,8731,7330,97,Республика Чувашия
47,8565,5640,100,Ленинградская область
62,8422,6797,52,Рязанская область
46,8383,6868,58,Курская область
70,7982,6496,88,Томская область
68,7964,6774,46,Тамбовская область
7,7934,6581,98,Кабардино-Балкарская Республика
17,7931,6881,84,Республика Тыва
33,7540,5982,227,Владимирская область
9,7434,4903,29,Карачаево-Черкесская Республика
16,7364,6270,51,Республика Татарстан
30,7352,6463,120,Астраханская область
3,7313,6137,75,Республика Бурятия
8,6811,4031,75,Республика Калмыкия
67,6764,5778,144,Смоленская область
75,6692,5158,70,Забайкальский край
69,6653,4599,255,Тверская область
13,6636,5513,42,Республика Мордовия
48,6320,5491,46,Липецкая область
15,5995,4856,70,Республика Северная Осетия — Алания
6,5933,4831,84,Республика Ингушетия
65,5864,4101,0,Сахалинская область
18,5826,3984,73,Удмуртская Республика
60,5661,4133,66,Псковская область
53,5530,3828,86,Новгородская область
44,5031,3554,79,Костромская область
12,4979,4301,51,Республика Марий Эл
91,4958,3012,71,Республика Крым
35,4893,3850,49,Вологодская область
39,4711,3436,81,Калининградская область
41,4625,3338,70,Камчатский край
19,4611,3927,48,Республика Хакасия
28,4477,3966,52,Амурская область
1,4266,3602,35,Республика Адыгея
10,4231,3007,38,Республика Карелия
45,4009,3377,36,Курганская область
4,3940,2884,12,Республика Алтай
49,3131,2413,26,Магаданская область
20,2458,1913,41,Чеченская Республика
92,1135,702,29,Севастополь
79,1034,701,16,Еврейская автономная область
83,338,132,0,Ненецкий автономный округ
87,201,184,2,Чукотский автономный округ
99,1225889,982324,21475,Всего
