Region Id,Sick,Healed,Die,Region Name
77,237947,174721,4398,Москва
50,62753,45231,1089,Московская область
78,30635,22968,1945,Санкт-Петербург
52,22984,17647,365,Нижегородская область
66,19473,14358,236,Свердловская область
86,15442,11255,124,Ханты-Мансийский АО
38,12648,7423,150,Иркутская область
24,12419,10850,305,Красноярский край
61,12270,9738,203,Ростовская область
36,10714,8432,78,Воронежская область
74,10584,6157,90,Челябинская область
89,10414,6134,73,Ямало-Ненецкий автономный округ
51,9469,5233,66,Мурманская область
5,9062,7971,439,Республика Дагестан
64,8920,5250,55,Саратовская область
54,8826,6769,200,Новосибирская область
34,8689,5054,58,Волгоградская область
73,8569,5925,65,Ульяновская область
22,8531,6424,64,Алтайский край
29,8365,6747,152,Архангельская область
71,8165,6722,213,Тульская область
23,7784,6701,103,Краснодарский край
26,7678,4965,145,Ставропольский край
32,7221,5754,35,Брянская область
40,7090,5737,56,Калужская область
27,6973,4101,52,Хабаровский край
63,6660,4442,80,Самарская область
2,6571,4830,21,Республика Башкортостан
21,6529,3562,51,Республика Чувашия
56,6374,4775,41,Оренбургская область
37,6303,4690,83,Ивановская область
58,6286,5415,79,Пензенская область
25,6281,4730,70,Приморский край
55,6184,3969,62,Омская область
62,6155,5784,27,Рязанская область
46,6087,4516,49,Курская область
17,5956,3608,47,Республика Тыва
7,5900,5415,66,Кабардино-Балкарская Республика
76,5835,5177,25,Ярославская область
68,5805,4602,30,Тамбовская область
31,5745,5482,46,Белгородская область
47,5669,4451,56,Ленинградская область
67,5553,3635,93,Смоленская область
14,5521,5232,50,Республика Саха (Якутия)
59,5502,4130,137,Пермский край
57,5493,4146,87,Орловская область
33,5462,5111,124,Владимирская область
16,5436,4410,21,Республика Татарстан
72,5389,3910,25,Тюменская область
11,5100,3311,41,Республика Коми
43,4511,4398,63,Кировская область
48,4488,3548,21,Липецкая область
15,4465,3921,67,Республика Северная Осетия — Алания
69,4451,3797,130,Тверская область
30,4405,3429,43,Астраханская область
9,4378,2881,20,Карачаево-Черкесская Республика
13,4328,3237,33,Республика Мордовия
75,4026,3511,47,Забайкальский край
3,3902,3055,37,Республика Бурятия
70,3872,2348,30,Томская область
12,3675,3100,31,Республика Марий Эл
53,3656,2299,70,Новгородская область
60,3582,2410,51,Псковская область
6,3578,2814,73,Республика Ингушетия
41,3240,2663,42,Камчатский край
42,3193,1970,16,Кемеровская область
39,2790,2308,43,Калининградская область
19,2749,2282,30,Республика Хакасия
28,2600,1773,47,Амурская область
1,2568,2023,20,Республика Адыгея
8,2495,1672,37,Республика Калмыкия
35,2271,1866,20,Вологодская область
18,2254,1725,23,Удмуртская Республика
65,2235,788,0,Сахалинская область
10,2151,1261,4,Республика Карелия
44,2119,1450,26,Костромская область
45,2055,1223,7,Курганская область
20,2000,1328,31,Чеченская Республика
4,1437,968,1,Республика Алтай
49,1243,872,7,Магаданская область
91,1077,827,14,Республика Крым
79,520,446,8,Еврейская автономная область
92,335,251,6,Севастополь
83,264,62,0,Ненецкий автономный округ
87,151,144,1,Чукотский автономный округ
99,812485,600250,13269,Всего
