Region Id,Sick,Healed,Die,Region Name
77,539970,394252,8159,Москва
50,100937,73863,1871,Московская область
78,92794,54429,4826,Санкт-Петербург
52,49934,42964,1033,Нижегородская область
66,42460,34629,933,Свердловская область
61,36834,29595,1151,Ростовская область
24,32886,25333,903,Красноярский край
86,32255,27210,352,Ханты-Мансийский АО
36,31210,30113,481,Воронежская область
38,29383,25708,666,Иркутская область
29,27651,16640,318,Архангельская область
26,25463,22678,498,Ставропольский край
73,25155,20412,315,Ульяновская область
34,24783,23575,268,Волгоградская область
64,24707,18722,202,Саратовская область
51,24639,20716,415,Мурманская область
89,24377,16591,223,Ямало-Ненецкий автономный округ
22,23853,21031,480,Алтайский край
74,22846,21352,203,Челябинская область
27,21344,14224,150,Хабаровский край
56,21318,18437,175,Оренбургская область
54,20898,17013,682,Новосибирская область
23,20376,13335,533,Краснодарский край
55,20179,16111,494,Омская область
63,19948,18069,373,Самарская область
25,19616,14392,203,Приморский край
42,19019,15488,334,Кемеровская область
58,18584,14244,223,Пензенская область
11,18511,13378,300,Республика Коми
5,17927,16094,874,Республика Дагестан
14,17852,11158,232,Республика Саха (Якутия)
59,17717,12051,508,Пермский край
72,16580,11258,117,Тюменская область
75,16558,14759,252,Забайкальский край
70,16460,11006,146,Томская область
3,16191,14240,327,Республика Бурятия
32,15930,12193,108,Брянская область
43,15719,8896,187,Кировская область
71,15033,12876,461,Тульская область
47,14890,9224,131,Ленинградская область
57,14634,11601,178,Орловская область
76,14590,13920,73,Ярославская область
40,14576,11715,100,Калужская область
31,14539,12725,72,Белгородская область
37,14259,10133,216,Ивановская область
46,13728,10405,163,Курская область
91,13150,8933,232,Республика Крым
69,13134,7945,361,Тверская область
2,12933,11320,73,Республика Башкортостан
62,12886,9800,78,Рязанская область
30,12222,8692,224,Астраханская область
68,11994,10345,73,Тамбовская область
33,11925,9299,284,Владимирская область
7,11808,8789,188,Кабардино-Балкарская Республика
18,11691,9994,265,Удмуртская Республика
10,11410,6037,80,Республика Карелия
17,11399,10692,132,Республика Тыва
21,11387,10171,221,Республика Чувашия
9,11350,7461,34,Карачаево-Черкесская Республика
67,11048,7838,265,Смоленская область
8,10830,8438,122,Республика Калмыкия
60,10530,5793,72,Псковская область
19,10267,6942,100,Республика Хакасия
4,10095,7912,22,Республика Алтай
65,10045,7122,5,Сахалинская область
48,10040,7956,91,Липецкая область
44,10019,6472,173,Костромская область
53,9903,6469,89,Новгородская область
13,9865,8107,58,Республика Мордовия
28,9820,7142,97,Амурская область
35,9665,8548,74,Вологодская область
39,9588,6415,105,Калининградская область
16,9556,8373,126,Республика Татарстан
6,8696,7324,104,Республика Ингушетия
15,8608,6457,73,Республика Северная Осетия — Алания
45,7660,7329,114,Курганская область
1,7213,5886,60,Республика Адыгея
12,7067,6054,82,Республика Марий Эл
41,6955,4620,70,Камчатский край
49,5249,4333,51,Магаданская область
92,3751,3129,99,Севастополь
20,3451,2302,55,Чеченская Республика
79,2675,1566,47,Еврейская автономная область
83,612,391,0,Ненецкий автономный округ
87,316,260,3,Чукотский автономный округ
99,2039926,1551414,35311,Всего
