Region Id,Sick,Healed,Die,Region Name
77,68606,7029,729,Москва
50,14136,507,111,Московская область
78,5029,1061,34,Санкт-Петербург
52,2695,346,16,Нижегородская область
5,1798,183,13,Республика Дагестан
51,1694,122,4,Мурманская область
23,1244,372,20,Краснодарский край
71,1218,143,8,Тульская область
61,1178,112,9,Ростовская область
32,1148,276,9,Брянская область
40,1136,108,12,Калужская область
66,1091,126,1,Свердловская область
62,1076,86,5,Рязанская область
47,1037,188,3,Ленинградская область
16,1031,115,2,Республика Татарстан
2,1022,183,14,Республика Башкортостан
15,990,86,6,Республика Северная Осетия — Алания
46,928,126,4,Курская область
6,865,158,25,Республика Ингушетия
33,830,37,7,Владимирская область
13,808,97,3,Республика Мордовия
68,789,113,2,Тамбовская область
24,781,153,11,Красноярский край
21,731,134,8,Республика Чувашия
26,731,135,15,Ставропольский край
76,710,99,5,Ярославская область
11,676,107,5,Республика Коми
12,668,397,4,Республика Марий Эл
57,662,111,7,Орловская область
69,661,74,3,Тверская область
7,634,101,2,Кабардино-Балкарская Республика
74,631,69,2,Челябинская область
27,629,117,7,Хабаровский край
54,620,119,7,Новосибирская область
56,619,217,4,Оренбургская область
89,608,129,3,Ямало-Ненецкий автономный округ
36,602,113,9,Воронежская область
59,595,166,9,Пермский край
64,585,95,3,Саратовская область
43,585,72,4,Кировская область
20,553,286,8,Чеченская Республика
48,520,106,2,Липецкая область
63,518,58,5,Самарская область
58,512,170,7,Пензенская область
67,508,81,3,Смоленская область
73,499,83,4,Ульяновская область
22,498,76,1,Алтайский край
72,495,161,3,Тюменская область
25,494,66,4,Приморский край
30,487,93,4,Астраханская область
39,479,114,6,Калининградская область
34,474,88,10,Волгоградская область
37,456,87,4,Ивановская область
31,454,59,5,Белгородская область
86,449,118,3,Ханты-Мансийский АО
9,430,22,2,Карачаево-Черкесская Республика
3,355,102,4,Республика Бурятия
53,348,39,2,Новгородская область
41,311,30,0,Камчатский край
8,283,53,5,Республика Калмыкия
14,282,39,4,Республика Саха (Якутия)
19,272,22,7,Республика Хакасия
18,271,56,9,Удмуртская Республика
29,260,69,1,Архангельская область
44,253,45,3,Костромская область
35,219,68,0,Вологодская область
60,195,19,8,Псковская область
1,178,76,6,Республика Адыгея
75,167,53,0,Забайкальский край
42,153,22,2,Кемеровская область
38,150,58,4,Иркутская область
79,143,13,0,Еврейская автономная область
55,127,27,3,Омская область
70,119,27,1,Томская область
49,116,34,2,Магаданская область
91,104,38,0,Республика Крым
92,89,10,2,Севастополь
10,85,13,0,Республика Карелия
28,79,13,1,Амурская область
45,51,11,0,Курганская область
83,45,1,0,Ненецкий автономный округ
17,43,29,0,Республика Тыва
4,36,1,0,Республика Алтай
65,26,19,0,Сахалинская область
87,24,2,0,Чукотский автономный округ
99,134687,16639,1280,Всего
