Region Id,Sick,Healed,Die,Region Name
77,135464,24562,1358,Москва
50,25525,2468,253,Московская область
78,9486,2005,74,Санкт-Петербург
52,5903,1220,40,Нижегородская область
5,3192,1490,27,Республика Дагестан
51,2551,489,6,Мурманская область
66,2466,546,5,Свердловская область
23,2418,979,24,Краснодарский край
71,2263,556,18,Тульская область
40,2213,438,19,Калужская область
61,2200,629,25,Ростовская область
62,2123,352,7,Рязанская область
16,2064,1006,6,Республика Татарстан
32,1995,834,30,Брянская область
15,1943,903,13,Республика Северная Осетия — Алания
2,1874,524,16,Республика Башкортостан
47,1841,593,7,Ленинградская область
46,1777,436,7,Курская область
68,1737,471,3,Тамбовская область
7,1619,319,7,Кабардино-Балкарская Республика
33,1592,149,15,Владимирская область
24,1590,500,16,Красноярский край
89,1548,220,3,Ямало-Ненецкий автономный округ
76,1537,244,11,Ярославская область
64,1526,321,7,Саратовская область
21,1522,405,8,Республика Чувашия
54,1447,526,18,Новосибирская область
34,1445,407,13,Волгоградская область
74,1407,438,6,Челябинская область
6,1407,337,35,Республика Ингушетия
57,1329,362,10,Орловская область
13,1323,350,9,Республика Мордовия
26,1308,462,26,Ставропольский край
63,1302,233,9,Самарская область
56,1208,528,5,Оренбургская область
27,1126,497,7,Хабаровский край
37,1124,307,13,Ивановская область
25,1110,340,12,Приморский край
67,1105,326,10,Смоленская область
48,1083,258,3,Липецкая область
73,1081,246,5,Ульяновская область
12,1078,809,7,Республика Марий Эл
36,1074,552,12,Воронежская область
31,1073,299,9,Белгородская область
72,1057,357,6,Тюменская область
69,1006,447,10,Тверская область
58,985,658,10,Пензенская область
86,965,356,8,Ханты-Мансийский АО
30,945,294,7,Астраханская область
43,932,452,5,Кировская область
59,921,540,13,Пермский край
20,891,529,9,Чеченская Республика
11,882,387,16,Республика Коми
39,881,323,11,Калининградская область
22,847,422,3,Алтайский край
3,824,277,6,Республика Бурятия
14,722,246,4,Республика Саха (Якутия)
8,618,195,6,Республика Калмыкия
9,614,129,3,Карачаево-Черкесская Республика
29,586,229,3,Архангельская область
53,584,158,5,Новгородская область
19,557,192,9,Республика Хакасия
38,474,117,4,Иркутская область
75,454,178,2,Забайкальский край
44,452,168,3,Костромская область
41,443,111,1,Камчатский край
55,436,74,7,Омская область
18,408,202,12,Удмуртская Республика
60,367,112,8,Псковская область
35,361,172,2,Вологодская область
70,329,80,4,Томская область
1,307,214,8,Республика Адыгея
42,296,99,7,Кемеровская область
91,245,89,2,Республика Крым
17,222,44,1,Республика Тыва
79,222,60,2,Еврейская автономная область
28,204,44,1,Амурская область
10,194,49,1,Республика Карелия
49,171,98,3,Магаданская область
92,135,65,2,Севастополь
45,103,43,0,Курганская область
4,65,30,0,Республика Алтай
83,52,7,0,Ненецкий автономный округ
65,45,27,0,Сахалинская область
87,42,16,0,Чукотский автономный округ
99,262843,58226,2418,Всего
