Region Id,Sick,Healed,Die,Region Name
77,1658065,1502833,29385,Москва
78,634234,589270,22200,Санкт-Петербург
50,458556,398185,8258,Московская область
52,173213,157853,6801,Нижегородская область
66,142127,130813,6548,Свердловская область
61,141674,121964,6991,Ростовская область
36,136856,112829,4492,Воронежская область
24,118297,104937,5961,Красноярский край
38,111320,99970,4889,Иркутская область
63,108978,87774,4019,Самарская область
59,104614,91750,5026,Пермский край
74,98369,84566,3548,Челябинская область
34,94239,83877,2920,Волгоградская область
29,91218,84461,1183,Архангельская область
64,90703,82357,3190,Саратовская область
26,87984,69165,3196,Ставропольский край
55,86666,69337,2235,Омская область
27,85708,79629,822,Хабаровский край
73,85064,74446,2668,Ульяновская область
91,81815,69928,2644,Республика Крым
56,79519,67945,2073,Оренбургская область
22,79277,59769,4325,Алтайский край
86,76303,72491,1110,Ханты-Мансийский АО
23,75242,54693,6415,Краснодарский край
51,73491,55373,2113,Мурманская область
58,72110,58021,2848,Пензенская область
11,71644,65124,1808,Республика Коми
47,70631,53048,2484,Ленинградская область
35,70319,63452,1939,Вологодская область
25,70209,62471,1172,Приморский край
75,70070,60794,1191,Забайкальский край
2,69830,60835,1760,Республика Башкортостан
69,68189,59526,1674,Тверская область
10,67085,63964,888,Республика Карелия
32,66985,61854,1515,Брянская область
54,64568,51024,3059,Новосибирская область
72,63231,54796,1988,Тюменская область
76,62768,54878,1243,Ярославская область
30,60459,46603,1704,Астраханская область
3,59462,51098,1866,Республика Бурятия
46,58980,52812,1481,Курская область
43,58451,54332,542,Кировская область
42,57719,55340,1327,Кемеровская область
39,56426,50252,777,Калининградская область
33,55573,50468,2000,Владимирская область
14,55449,42351,1254,Республика Саха (Якутия)
71,55428,47653,3085,Тульская область
31,55103,50474,1192,Белгородская область
18,54799,44323,2140,Удмуртская Республика
48,54487,47526,1722,Липецкая область
5,52566,48655,2555,Республика Дагестан
60,51375,43949,805,Псковская область
67,51223,45103,1768,Смоленская область
89,51080,49024,697,Ямало-Ненецкий автономный округ
37,50024,45551,1643,Ивановская область
40,48964,46434,737,Калужская область
57,47085,44381,1017,Орловская область
53,45185,41785,454,Новгородская область
70,44214,36920,571,Томская область
68,44211,41704,936,Тамбовская область
62,43148,39438,1158,Рязанская область
19,39599,35132,1127,Республика Хакасия
28,36243,30116,455,Амурская область
21,34512,31183,2389,Республика Чувашия
44,34472,28562,801,Костромская область
45,34209,30933,728,Курганская область
65,33338,32423,315,Сахалинская область
7,32380,30494,814,Кабардино-Балкарская Республика
92,31801,28519,1139,Севастополь
8,30817,29173,614,Республика Калмыкия
13,28633,24508,581,Республика Мордовия
16,27474,23455,770,Республика Татарстан
17,26985,22997,282,Республика Тыва
9,25786,22796,641,Карачаево-Черкесская Республика
15,23376,21181,633,Республика Северная Осетия — Алания
20,23024,21377,615,Чеченская Республика
6,21901,20001,326,Республика Ингушетия
4,21748,20620,368,Республика Алтай
12,20082,18886,609,Республика Марий Эл
41,19965,15652,365,Камчатский край
1,19948,17754,450,Республика Адыгея
49,11137,10447,261,Магаданская область
79,8240,6719,267,Еврейская автономная область
83,2367,2227,45,Ненецкий автономный округ
87,1941,1567,18,Чукотский автономный округ
99,7662560,6778900,212625,Всего
