Region Id,Sick,Healed,Die,Region Name
77,1866606,1641106,32112,Москва
78,733059,661116,24552,Санкт-Петербург
50,542376,472223,9179,Московская область
52,197588,174705,8033,Нижегородская область
66,163211,146061,7705,Свердловская область
61,161244,136625,7963,Ростовская область
36,160626,120220,5121,Воронежская область
63,146100,109249,4833,Самарская область
24,136950,120777,6795,Красноярский край
38,125841,106608,5597,Иркутская область
59,125451,105578,6088,Пермский край
74,113419,91788,4484,Челябинская область
34,107634,93698,3794,Волгоградская область
64,106422,92662,4060,Саратовская область
29,104131,95604,1273,Архангельская область
91,102835,90600,3141,Республика Крым
55,101635,78730,2550,Омская область
26,101565,78090,4338,Ставропольский край
73,100203,88499,3146,Ульяновская область
27,97914,88469,936,Хабаровский край
56,92644,78646,2750,Оренбургская область
22,92515,64215,5127,Алтайский край
2,91518,80507,2851,Республика Башкортостан
86,84212,77862,1449,Ханты-Мансийский АО
23,83925,58855,7735,Краснодарский край
58,83246,59246,3719,Пензенская область
11,82114,70104,2040,Республика Коми
47,81532,62443,2611,Ленинградская область
35,81340,72049,2259,Вологодская область
51,81080,61388,2393,Мурманская область
32,80387,71784,1975,Брянская область
69,79876,66407,1898,Тверская область
75,79816,67467,1403,Забайкальский край
25,78805,69458,1292,Приморский край
10,76817,72661,1013,Республика Карелия
54,73962,54763,3486,Новосибирская область
72,73533,59232,2461,Тюменская область
76,71200,59347,1428,Ярославская область
46,69028,58615,1654,Курская область
30,68330,57742,2063,Астраханская область
39,67759,58829,898,Калининградская область
18,66881,55328,2769,Удмуртская Республика
67,66527,49333,1987,Смоленская область
48,65861,57998,2146,Липецкая область
42,65833,62240,1493,Кемеровская область
43,65824,58917,621,Кировская область
33,65389,52957,2293,Владимирская область
31,65257,55619,1348,Белгородская область
3,64509,56913,2028,Республика Бурятия
14,64426,52359,1510,Республика Саха (Якутия)
71,62215,54041,3596,Тульская область
60,60047,52298,954,Псковская область
5,57311,52837,2800,Республика Дагестан
37,57149,49134,1908,Ивановская область
57,55927,47302,1142,Орловская область
89,55339,51140,783,Ямало-Ненецкий автономный округ
40,54535,51456,896,Калужская область
53,52655,45974,545,Новгородская область
68,50026,47109,1186,Тамбовская область
70,49975,38708,605,Томская область
62,49889,43154,1542,Рязанская область
19,45617,35672,1399,Республика Хакасия
92,41842,35129,1458,Севастополь
28,41271,34378,495,Амурская область
45,40437,33546,817,Курганская область
44,40289,32900,895,Костромская область
21,39246,34359,2900,Республика Чувашия
7,36165,33272,998,Кабардино-Балкарская Республика
65,35752,34581,384,Сахалинская область
13,33077,27595,765,Республика Мордовия
8,32696,31055,673,Республика Калмыкия
16,32404,25948,1057,Республика Татарстан
17,29158,25448,285,Республика Тыва
9,28191,24527,811,Карачаево-Черкесская Республика
15,26355,22970,715,Республика Северная Осетия — Алания
20,26223,24307,753,Чеченская Республика
6,24306,22568,385,Республика Ингушетия
12,23531,20251,696,Республика Марий Эл
4,23337,21016,417,Республика Алтай
1,22198,18984,598,Республика Адыгея
41,21363,16368,463,Камчатский край
49,11988,11118,289,Магаданская область
79,9615,8064,308,Еврейская автономная область
83,2894,2697,65,Ненецкий автономный округ
87,2516,1962,21,Чукотский автономный округ
99,8834495,7587560,248004,Всего
