Region Id,Sick,Healed,Die,Region Name
77,171443,67458,2183,Москва
50,35956,6440,359,Московская область
78,14463,4458,158,Санкт-Петербург
52,8735,2905,78,Нижегородская область
5,4455,4161,130,Республика Дагестан
66,4425,1700,21,Свердловская область
61,4133,1441,34,Ростовская область
24,3700,791,29,Красноярский край
40,3560,1123,29,Калужская область
23,3506,2257,29,Краснодарский край
71,3422,1457,24,Тульская область
32,3254,1784,31,Брянская область
62,3206,789,7,Рязанская область
51,3030,1676,7,Мурманская область
16,2966,2226,9,Республика Татарстан
2,2942,902,18,Республика Башкортостан
76,2808,616,13,Ярославская область
15,2755,1625,32,Республика Северная Осетия — Алания
46,2719,1198,9,Курская область
68,2699,921,6,Тамбовская область
64,2649,861,30,Саратовская область
47,2609,1186,11,Ленинградская область
21,2545,922,12,Республика Чувашия
7,2509,643,12,Кабардино-Балкарская Республика
34,2470,781,16,Волгоградская область
33,2434,426,17,Владимирская область
54,2397,902,31,Новосибирская область
63,2340,761,17,Самарская область
74,2286,988,13,Челябинская область
89,2202,788,6,Ямало-Ненецкий автономный округ
26,2158,871,42,Ставропольский край
73,2121,586,7,Ульяновская область
57,2023,999,16,Орловская область
31,1980,716,15,Белгородская область
58,1980,1481,17,Пензенская область
86,1924,669,17,Ханты-Мансийский АО
6,1906,784,47,Республика Ингушетия
67,1853,621,25,Смоленская область
48,1836,588,5,Липецкая область
27,1827,803,10,Хабаровский край
25,1779,798,17,Приморский край
13,1727,568,12,Республика Мордовия
56,1718,1097,6,Оренбургская область
37,1686,599,18,Ивановская область
36,1643,1235,14,Воронежская область
12,1602,1217,10,Республика Марий Эл
30,1596,769,12,Астраханская область
22,1554,692,10,Алтайский край
72,1532,694,7,Тюменская область
14,1529,658,7,Республика Саха (Якутия)
59,1495,892,19,Пермский край
43,1438,836,10,Кировская область
69,1424,925,19,Тверская область
29,1410,474,5,Архангельская область
38,1376,271,10,Иркутская область
39,1338,587,21,Калининградская область
3,1313,635,8,Республика Бурятия
11,1188,625,21,Республика Коми
20,1152,698,13,Чеченская Республика
55,1139,288,18,Омская область
53,1049,319,6,Новгородская область
8,944,401,12,Республика Калмыкия
75,938,447,17,Забайкальский край
19,856,489,10,Республика Хакасия
9,853,268,5,Карачаево-Черкесская Республика
17,818,80,1,Республика Тыва
35,774,276,5,Вологодская область
1,759,307,9,Республика Адыгея
41,700,244,7,Камчатский край
60,629,268,10,Псковская область
44,617,354,9,Костромская область
70,595,223,10,Томская область
18,559,367,12,Удмуртская Республика
42,444,170,7,Кемеровская область
28,414,133,5,Амурская область
10,353,135,1,Республика Карелия
91,349,181,3,Республика Крым
79,274,174,3,Еврейская автономная область
49,228,155,3,Магаданская область
45,192,85,0,Курганская область
92,160,121,3,Севастополь
4,105,53,0,Республика Алтай
65,76,47,0,Сахалинская область
83,66,12,0,Ненецкий автономный округ
87,63,37,1,Чукотский автономный округ
99,370680,142208,3968,Всего
