Region Id,Sick,Healed,Die,Region Name
77,978476,897698,15055,Москва
78,367177,298937,11077,Санкт-Петербург
50,213961,174703,4657,Московская область
52,96569,88840,2460,Нижегородская область
66,77690,70658,2376,Свердловская область
61,73029,63467,3115,Ростовская область
36,67867,61739,1906,Воронежская область
24,62568,57851,2794,Красноярский край
29,56661,50832,645,Архангельская область
38,55663,52454,1783,Иркутская область
86,51462,49340,746,Ханты-Мансийский АО
74,50834,44687,1002,Челябинская область
64,49510,44698,642,Саратовская область
34,49373,47219,774,Волгоградская область
27,48928,45996,285,Хабаровский край
63,48529,44741,909,Самарская область
73,47688,44185,799,Ульяновская область
26,47323,43181,1078,Ставропольский край
59,46841,39035,1732,Пермский край
51,46762,45055,943,Мурманская область
22,43533,38885,1502,Алтайский край
55,40941,37506,1218,Омская область
10,40833,36741,306,Республика Карелия
25,40363,35042,629,Приморский край
11,39437,38283,753,Республика Коми
35,39258,35915,804,Вологодская область
75,38626,36909,530,Забайкальский край
23,38432,32993,1929,Краснодарский край
58,38302,34448,440,Пензенская область
56,37590,34692,605,Оренбургская область
89,37105,35117,399,Ямало-Ненецкий автономный округ
43,36493,31356,294,Кировская область
47,35998,32461,641,Ленинградская область
54,35749,32824,1436,Новосибирская область
91,35728,31827,929,Республика Крым
69,33728,31024,627,Тверская область
3,33633,31434,713,Республика Бурятия
71,33040,30592,1260,Тульская область
32,32896,32044,255,Брянская область
76,32808,31173,402,Ярославская область
14,32549,31129,514,Республика Саха (Якутия)
60,31902,21086,168,Псковская область
42,31651,30794,557,Кемеровская область
31,31448,28788,485,Белгородская область
72,31307,29441,289,Тюменская область
46,30718,27433,457,Курская область
37,30554,28338,925,Ивановская область
57,30272,27274,438,Орловская область
70,30266,28187,313,Томская область
40,29815,27480,258,Калужская область
5,29783,27505,1344,Республика Дагестан
2,28581,22867,273,Республика Башкортостан
30,28290,20513,566,Астраханская область
18,28216,24919,630,Удмуртская Республика
39,28213,25533,257,Калининградская область
33,27421,24419,876,Владимирская область
53,27152,23642,113,Новгородская область
68,26273,24072,343,Тамбовская область
67,26212,24317,616,Смоленская область
48,24665,21217,433,Липецкая область
62,24480,22507,298,Рязанская область
65,21509,20328,33,Сахалинская область
21,21398,19593,1034,Республика Чувашия
19,21291,20114,450,Республика Хакасия
28,21014,19421,178,Амурская область
7,20989,19650,368,Кабардино-Балкарская Республика
9,19051,17286,63,Карачаево-Черкесская Республика
8,19001,17982,296,Республика Калмыкия
44,18396,15517,354,Костромская область
16,17977,14575,333,Республика Татарстан
13,17835,15815,161,Республика Мордовия
45,17640,15687,305,Курганская область
4,16206,15885,159,Республика Алтай
15,15705,14265,155,Республика Северная Осетия — Алания
17,15649,14562,193,Республика Тыва
6,14739,12984,173,Республика Ингушетия
1,13782,12197,149,Республика Адыгея
41,13516,12151,118,Камчатский край
92,11951,10945,493,Севастополь
12,11787,10505,171,Республика Марий Эл
20,11297,10756,111,Чеченская Республика
49,8138,7851,95,Магаданская область
79,4322,4112,119,Еврейская автономная область
83,1023,925,3,Ненецкий автономный округ
87,691,648,5,Чукотский автономный округ
99,4246079,3811797,86122,Всего
