Region Id,Sick,Healed,Die,Region Name
77,772104,593939,10763,Москва
78,219581,129205,7222,Санкт-Петербург
50,145858,103908,2773,Московская область
52,66812,59538,1549,Нижегородская область
66,56162,48484,1409,Свердловская область
61,49318,40098,1937,Ростовская область
24,44564,38483,1600,Красноярский край
36,43894,42181,1024,Воронежская область
29,41118,31835,419,Архангельская область
86,39965,36102,516,Ханты-Мансийский АО
38,38932,34201,1153,Иркутская область
73,34622,31576,452,Ульяновская область
51,34495,31495,615,Мурманская область
34,33771,32035,427,Волгоградская область
64,33691,28855,382,Саратовская область
26,33615,30217,692,Ставропольский край
27,33044,28760,199,Хабаровский край
74,32843,23043,489,Челябинская область
22,31627,29025,803,Алтайский край
89,31068,23471,316,Ямало-Ненецкий автономный округ
63,29557,27269,540,Самарская область
11,28667,25718,551,Республика Коми
59,28647,22878,1062,Пермский край
55,28623,25993,828,Омская область
25,27853,19803,350,Приморский край
56,27667,24176,315,Оренбургская область
54,26955,22900,918,Новосибирская область
23,26595,17934,849,Краснодарский край
75,25759,23577,367,Забайкальский край
10,25327,18331,149,Республика Карелия
14,25231,22669,369,Республика Саха (Якутия)
42,24889,21796,456,Кемеровская область
58,24854,20231,303,Пензенская область
3,24562,21828,562,Республика Бурятия
43,24157,17448,224,Кировская область
70,23294,18816,209,Томская область
91,23156,17817,459,Республика Крым
5,22516,19312,1088,Республика Дагестан
47,22453,20287,227,Ленинградская область
72,22419,21025,192,Тюменская область
32,21933,19415,216,Брянская область
71,21596,18933,692,Тульская область
35,21296,16508,366,Вологодская область
76,21157,19835,166,Ярославская область
60,20895,10817,98,Псковская область
69,20843,16025,441,Тверская область
31,20713,18979,229,Белгородская область
57,20300,18392,253,Орловская область
37,20128,15235,467,Ивановская область
40,20026,18712,158,Калужская область
46,19701,17867,283,Курская область
18,18331,14760,368,Удмуртская Республика
2,18066,14162,131,Республика Башкортостан
30,17946,12185,358,Астраханская область
33,17497,15761,439,Владимирская область
62,17319,15819,141,Рязанская область
53,17051,12540,99,Новгородская область
68,16707,14890,170,Тамбовская область
19,16554,13506,232,Республика Хакасия
39,16493,13814,162,Калининградская область
67,16079,12611,318,Смоленская область
21,15697,14038,463,Республика Чувашия
7,15206,13223,254,Кабардино-Балкарская Республика
48,15067,11700,229,Липецкая область
28,15045,13449,105,Амурская область
65,14850,11914,15,Сахалинская область
9,14578,12989,41,Карачаево-Черкесская Республика
17,14468,13189,157,Республика Тыва
44,14357,10731,213,Костромская область
8,14175,11838,194,Республика Калмыкия
4,13429,12746,89,Республика Алтай
13,12964,10656,86,Республика Мордовия
16,12680,10594,171,Республика Татарстан
6,11606,9625,131,Республика Ингушетия
15,11485,10189,91,Республика Северная Осетия — Алания
45,11359,10040,160,Курганская область
1,10494,8433,83,Республика Адыгея
41,9641,8509,82,Камчатский край
12,8880,7883,115,Республика Марий Эл
20,7870,3700,89,Чеченская Республика
49,6769,6259,62,Магаданская область
92,6260,5848,215,Севастополь
79,3647,2547,65,Еврейская автономная область
83,762,679,0,Ненецкий автономный округ
87,521,450,4,Чукотский автономный округ
99,2992706,2398254,53659,Всего
