Region Id,Sick,Healed,Die,Region Name
77,1009952,929925,16078,Москва
78,386099,337264,11880,Санкт-Петербург
50,225889,185173,5233,Московская область
52,103982,97412,2717,Нижегородская область
66,80961,74165,2612,Свердловская область
61,78189,69742,3390,Ростовская область
36,72872,67337,2261,Воронежская область
24,65403,60541,3039,Красноярский край
38,59662,56932,1929,Иркутская область
29,58785,54099,782,Архангельская область
74,53902,48287,1148,Челябинская область
63,53531,50082,1016,Самарская область
86,53322,51764,776,Ханты-Мансийский АО
64,53042,47825,751,Саратовская область
34,52287,50028,896,Волгоградская область
27,50042,47566,327,Хабаровский край
59,49906,43930,1881,Пермский край
73,49718,46324,922,Ульяновская область
26,49360,46170,1185,Ставропольский край
51,48248,46672,1042,Мурманская область
22,45968,41065,1705,Алтайский край
10,42904,39610,358,Республика Карелия
55,42772,39473,1284,Омская область
25,41753,37348,663,Приморский край
35,41659,38808,871,Вологодская область
23,41096,35943,2195,Краснодарский край
11,40886,39735,783,Республика Коми
58,40864,37188,492,Пензенская область
75,40393,38918,580,Забайкальский край
56,39118,36024,696,Оренбургская область
43,38725,34769,315,Кировская область
47,38659,36180,845,Ленинградская область
54,37782,34818,1564,Новосибирская область
89,37726,36187,404,Ямало-Ненецкий автономный округ
91,36947,33986,1023,Республика Крым
69,36247,34053,707,Тверская область
3,35354,33556,756,Республика Бурятия
71,35210,32633,1448,Тульская область
76,35080,33632,462,Ярославская область
32,34630,33866,279,Брянская область
60,33543,22759,214,Псковская область
31,33321,31059,531,Белгородская область
14,33265,32060,539,Республика Саха (Якутия)
46,32952,29678,527,Курская область
72,32886,30973,349,Тюменская область
42,32736,31865,592,Кемеровская область
37,31834,30121,1004,Ивановская область
57,31756,29037,493,Орловская область
40,31623,29373,281,Калужская область
2,31149,25717,331,Республика Башкортостан
70,31069,29822,338,Томская область
5,30562,28302,1379,Республика Дагестан
30,29938,26349,630,Астраханская область
18,29766,26440,725,Удмуртская Республика
39,29686,27233,303,Калининградская область
33,29189,26326,968,Владимирская область
68,28384,26080,385,Тамбовская область
53,28230,25066,117,Новгородская область
67,27558,26293,709,Смоленская область
48,26632,23182,495,Липецкая область
62,25697,23768,339,Рязанская область
21,22300,20357,1146,Республика Чувашия
7,22240,20971,397,Кабардино-Балкарская Республика
65,21891,21464,36,Сахалинская область
19,21657,20924,491,Республика Хакасия
28,21639,20323,217,Амурская область
8,19674,18843,308,Республика Калмыкия
9,19484,18123,69,Карачаево-Черкесская Республика
44,19175,16535,375,Костромская область
16,18975,15769,396,Республика Татарстан
45,18745,16953,342,Курганская область
13,18645,16645,189,Республика Мордовия
4,16533,16211,187,Республика Алтай
15,16158,15008,157,Республика Северная Осетия — Алания
17,15749,14783,194,Республика Тыва
6,15007,13281,180,Республика Ингушетия
1,13998,12790,159,Республика Адыгея
41,13951,12869,185,Камчатский край
92,12807,11896,546,Севастополь
12,12296,11357,194,Республика Марий Эл
20,11532,11167,115,Чеченская Республика
49,8228,7984,99,Магаданская область
79,4398,4194,124,Еврейская автономная область
83,1068,992,4,Ненецкий автономный округ
87,719,680,5,Чукотский автономный округ
99,4447570,4060652,94659,Всего
