Region Id,Sick,Healed,Die,Region Name
77,1786570,1572825,30963,Москва
78,694741,631713,23576,Санкт-Петербург
50,507883,435996,8595,Московская область
52,188013,169021,7565,Нижегородская область
66,154564,140009,7350,Свердловская область
61,153590,129570,7615,Ростовская область
36,151118,118407,4846,Воронежская область
24,128578,113397,6445,Красноярский край
63,127579,98795,4502,Самарская область
38,119864,105039,5277,Иркутская область
59,117054,99539,5666,Пермский край
74,107148,89388,4132,Челябинская область
34,102275,90250,3441,Волгоградская область
64,99231,88367,3736,Саратовская область
29,98662,91379,1242,Архангельская область
26,96026,75206,3884,Ставропольский край
55,95111,74739,2423,Омская область
91,93984,79738,2927,Республика Крым
73,93386,82507,2953,Ульяновская область
27,92498,85346,893,Хабаровский край
56,87744,75260,2503,Оренбургская область
22,86732,61564,4810,Алтайский край
2,83486,72682,2482,Республика Башкортостан
86,81111,75879,1300,Ханты-Мансийский АО
23,80430,58037,7216,Краснодарский край
58,78708,58879,3414,Пензенская область
51,77861,58645,2290,Мурманская область
11,77569,68818,1941,Республика Коми
47,76921,58389,2546,Ленинградская область
35,76840,69101,2157,Вологодская область
75,75506,64740,1317,Забайкальский край
25,75132,66634,1243,Приморский край
69,75101,62782,1814,Тверская область
32,74371,67307,1805,Брянская область
10,73357,69331,961,Республика Карелия
54,69599,53312,3324,Новосибирская область
72,69435,57936,2300,Тюменская область
76,67867,58226,1356,Ярославская область
30,65269,52893,1940,Астраханская область
46,64818,56408,1585,Курская область
39,63045,55140,845,Калининградская область
43,62709,57268,588,Кировская область
3,62318,54338,1959,Республика Бурятия
42,62157,59286,1441,Кемеровская область
18,62150,50499,2542,Удмуртская Республика
33,61528,52328,2200,Владимирская область
31,61091,53967,1291,Белгородская область
48,61072,53195,1988,Липецкая область
14,60937,46626,1400,Республика Саха (Якутия)
67,59369,47554,1891,Смоленская область
71,59136,51038,3386,Тульская область
60,56600,48659,897,Псковская область
5,55369,51079,2728,Республика Дагестан
37,54420,47851,1808,Ивановская область
89,53625,50511,744,Ямало-Ненецкий автономный округ
40,52238,49883,835,Калужская область
57,51989,46729,1076,Орловская область
53,49283,44781,489,Новгородская область
68,47579,44868,1073,Тамбовская область
70,47020,38105,588,Томская область
62,47018,42219,1358,Рязанская область
19,42935,35403,1304,Республика Хакасия
28,39104,33154,479,Амурская область
45,37910,32907,787,Курганская область
44,37855,31518,861,Костромская область
92,37642,32084,1299,Севастополь
21,37122,32451,2689,Республика Чувашия
7,34604,32080,914,Кабардино-Балкарская Республика
65,34564,33677,355,Сахалинская область
8,32072,30396,649,Республика Калмыкия
13,31138,26153,691,Республика Мордовия
16,30057,24878,948,Республика Татарстан
17,28314,24868,283,Республика Тыва
9,27176,23681,734,Карачаево-Черкесская Республика
15,25131,22481,687,Республика Северная Осетия — Алания
20,24816,23201,696,Чеченская Республика
6,23345,21420,365,Республика Ингушетия
4,22679,20860,399,Республика Алтай
12,22009,20073,677,Республика Марий Эл
1,21263,18504,544,Республика Адыгея
41,20828,16080,428,Камчатский край
49,11592,10923,278,Магаданская область
79,9072,7590,289,Еврейская автономная область
83,2689,2577,61,Ненецкий автономный округ
87,2299,1798,19,Чукотский автономный округ
99,8352601,7242735,233898,Всего
