Region Id,Sick,Healed,Die,Region Name
77,180791,80179,2477,Москва
50,38995,8091,449,Московская область
78,15949,5680,204,Санкт-Петербург
52,9834,3693,98,Нижегородская область
66,5449,2173,27,Свердловская область
5,4955,4427,235,Республика Дагестан
61,4758,1717,38,Ростовская область
24,4249,894,39,Красноярский край
40,3923,1494,31,Калужская область
71,3855,1803,36,Тульская область
23,3824,2711,32,Краснодарский край
32,3685,2217,31,Брянская область
62,3508,956,7,Рязанская область
2,3260,1116,18,Республика Башкортостан
51,3222,2072,7,Мурманская область
16,3194,2616,10,Республика Татарстан
76,3132,756,14,Ярославская область
64,3078,1153,34,Саратовская область
34,3026,1023,19,Волгоградская область
46,3000,1388,13,Курская область
68,2983,1133,7,Тамбовская область
15,2957,1952,46,Республика Северная Осетия — Алания
21,2885,1242,14,Республика Чувашия
7,2827,1143,17,Кабардино-Балкарская Республика
47,2822,1561,11,Ленинградская область
54,2809,1119,32,Новосибирская область
74,2795,1258,16,Челябинская область
33,2676,732,21,Владимирская область
63,2612,1025,20,Самарская область
26,2485,1067,46,Ставропольский край
73,2466,713,8,Ульяновская область
86,2436,782,18,Ханты-Мансийский АО
89,2375,975,9,Ямало-Ненецкий автономный округ
58,2332,1827,19,Пензенская область
31,2310,910,19,Белгородская область
57,2300,1152,25,Орловская область
67,2207,772,36,Смоленская область
48,2123,718,6,Липецкая область
6,2083,845,50,Республика Ингушетия
27,2081,1002,11,Хабаровский край
36,2028,1419,15,Воронежская область
25,1995,1075,19,Приморский край
37,1977,783,18,Ивановская область
29,1933,587,5,Архангельская область
14,1930,857,8,Республика Саха (Якутия)
56,1925,1196,6,Оренбургская область
13,1895,799,12,Республика Мордовия
22,1848,787,12,Алтайский край
12,1774,1370,13,Республика Марий Эл
30,1752,920,15,Астраханская область
38,1750,331,11,Иркутская область
59,1713,1053,20,Пермский край
43,1683,978,17,Кировская область
72,1638,812,8,Тюменская область
69,1604,1083,22,Тверская область
39,1508,630,24,Калининградская область
3,1467,796,10,Республика Бурятия
55,1387,349,18,Омская область
11,1322,704,24,Республика Коми
53,1281,388,8,Новгородская область
20,1227,828,13,Чеченская Республика
75,1097,538,20,Забайкальский край
9,1067,308,5,Карачаево-Черкесская Республика
17,1055,91,2,Республика Тыва
8,1054,484,15,Республика Калмыкия
19,964,563,10,Республика Хакасия
35,929,348,7,Вологодская область
1,854,371,9,Республика Адыгея
41,849,259,8,Камчатский край
60,824,340,10,Псковская область
44,758,395,10,Костромская область
70,688,323,11,Томская область
18,652,411,12,Удмуртская Республика
42,520,240,7,Кемеровская область
28,506,163,5,Амурская область
10,430,168,1,Республика Карелия
91,375,229,3,Республика Крым
79,309,198,3,Еврейская автономная область
49,243,186,3,Магаданская область
45,231,115,0,Курганская область
92,161,131,3,Севастополь
4,122,71,0,Республика Алтай
65,115,53,0,Сахалинская область
87,80,54,1,Чукотский автономный округ
83,72,12,0,Ненецкий автономный округ
99,405843,171883,4693,Всего
