Region Id,Sick,Healed,Die,Region Name
77,1933979,1755581,33821,Москва
78,779037,718091,25931,Санкт-Петербург
50,581202,513994,10227,Московская область
52,211482,182800,8732,Нижегородская область
66,176415,154919,8294,Свердловская область
63,175951,126728,5365,Самарская область
36,174248,123463,5627,Воронежская область
61,172931,147511,8579,Ростовская область
24,149800,133420,7357,Красноярский край
59,137998,117259,6746,Пермский край
38,136330,111167,6095,Иркутская область
74,124205,102838,5018,Челябинская область
64,117867,101400,4521,Саратовская область
91,117462,105129,3511,Республика Крым
34,116016,99731,4430,Волгоградская область
55,112229,87829,2772,Омская область
29,112067,102626,1343,Архангельская область
26,110888,84459,5070,Ставропольский край
73,109293,100736,3322,Ульяновская область
27,107758,94115,1027,Хабаровский край
2,103697,92621,3418,Республика Башкортостан
22,101953,73021,5642,Алтайский край
56,99591,83892,3105,Оренбургская область
23,96000,69606,8732,Краснодарский край
58,90318,62419,4137,Пензенская область
47,88943,69785,2757,Ленинградская область
86,88752,81329,1660,Ханты-Мансийский АО
11,88747,72438,2262,Республика Коми
35,88573,78279,2522,Вологодская область
32,88470,79645,2219,Брянская область
69,86892,74580,2073,Тверская область
75,86331,72826,1591,Забайкальский край
25,86184,74519,1384,Приморский край
51,85656,66473,2528,Мурманская область
10,82206,77732,1065,Республика Карелия
54,81151,57004,3736,Новосибирская область
72,79613,61956,2793,Тюменская область
67,76651,53793,2108,Смоленская область
76,76292,61172,1533,Ярославская область
46,75224,61959,1767,Курская область
39,74618,66189,999,Калининградская область
18,73632,62334,3024,Удмуртская Республика
48,73051,65816,2379,Липецкая область
30,72988,63501,2168,Астраханская область
42,72512,67126,1561,Кемеровская область
31,71472,61183,1493,Белгородская область
33,71194,54532,2459,Владимирская область
43,70589,61562,669,Кировская область
14,69450,62095,1674,Республика Саха (Якутия)
3,68617,61571,2150,Республика Бурятия
71,66968,58669,3851,Тульская область
60,65101,56463,1055,Псковская область
57,62078,49864,1268,Орловская область
37,61217,51620,2094,Ивановская область
5,60572,55786,2921,Республика Дагестан
53,58416,48517,587,Новгородская область
40,58339,54806,1015,Калужская область
89,57920,52396,848,Ямало-Ненецкий автономный округ
70,54837,39525,625,Томская область
62,54552,44916,1891,Рязанская область
68,53821,50558,1380,Тамбовская область
19,49094,41480,1586,Республика Хакасия
92,47842,42802,1647,Севастополь
28,45476,35481,519,Амурская область
45,44257,35114,860,Курганская область
44,43884,35412,973,Костромская область
21,42344,37012,3229,Республика Чувашия
7,38483,35090,1153,Кабардино-Балкарская Республика
65,37371,35991,431,Сахалинская область
16,37057,30728,1215,Республика Татарстан
13,36015,29777,866,Республика Мордовия
8,33323,31718,690,Республика Калмыкия
17,30368,26483,294,Республика Тыва
9,29763,25689,848,Карачаево-Черкесская Республика
20,28202,26251,815,Чеченская Республика
15,28152,24238,740,Республика Северная Осетия — Алания
6,25819,23982,416,Республика Ингушетия
12,25803,21204,746,Республика Марий Эл
4,24194,21676,454,Республика Алтай
1,23823,20144,657,Республика Адыгея
41,22218,16836,482,Камчатский край
49,12645,11664,310,Магаданская область
79,10410,8973,333,Еврейская автономная область
83,3173,2910,72,Ненецкий автономный округ
87,2817,2442,25,Чукотский автономный округ
99,9502879,8200971,270292,Всего
