Region Id,Sick,Healed,Die,Region Name
77,728637,562953,10317,Москва
78,197054,114806,6767,Санкт-Петербург
50,136644,96563,2678,Московская область
52,63804,56896,1456,Нижегородская область
66,53740,46037,1312,Свердловская область
61,47006,37839,1807,Ростовская область
24,42585,35853,1479,Красноярский край
36,41561,39922,923,Воронежская область
29,38786,29547,394,Архангельская область
86,38616,34506,495,Ханты-Мансийский АО
38,37293,32720,1059,Иркутская область
73,32919,30199,415,Ульяновская область
51,32827,30033,586,Мурманская область
26,32166,28929,663,Ставропольский край
34,32131,30524,399,Волгоградская область
64,32090,27456,346,Саратовская область
27,30994,25730,193,Хабаровский край
74,30983,22862,442,Челябинская область
22,30333,27784,744,Алтайский край
89,29977,22130,302,Ямало-Ненецкий автономный округ
63,27723,25511,534,Самарская область
55,27177,24570,781,Омская область
11,26942,23556,502,Республика Коми
59,26655,20854,951,Пермский край
56,26605,23170,290,Оренбургская область
25,26422,18787,317,Приморский край
54,25971,21798,874,Новосибирская область
23,25482,17241,773,Краснодарский край
75,24247,22182,352,Забайкальский край
14,24045,21526,344,Республика Саха (Якутия)
42,23997,20752,442,Кемеровская область
58,23679,19516,289,Пензенская область
3,23328,21094,533,Республика Бурятия
10,23032,15649,138,Республика Карелия
43,22701,16024,216,Кировская область
70,22177,17541,201,Томская область
5,21583,18581,1063,Республика Дагестан
72,21415,20075,178,Тюменская область
47,21092,18987,195,Ленинградская область
91,21049,16300,413,Республика Крым
32,20721,18660,193,Брянская область
71,20350,17824,624,Тульская область
76,20017,18746,141,Ярославская область
31,19605,17882,196,Белгородская область
69,19432,14277,432,Тверская область
57,19225,17247,239,Орловская область
35,19092,14398,317,Вологодская область
37,19043,14139,409,Ивановская область
40,19010,17744,141,Калужская область
46,18609,16829,262,Курская область
60,18434,9648,92,Псковская область
2,17101,13683,120,Республика Башкортостан
18,17081,13589,355,Удмуртская Республика
30,16860,11662,332,Астраханская область
62,16499,15045,126,Рязанская область
33,16392,14711,414,Владимирская область
53,15799,11564,97,Новгородская область
68,15798,13983,155,Тамбовская область
19,15486,12460,193,Республика Хакасия
39,15277,12079,146,Калининградская область
67,15143,11413,307,Смоленская область
21,14954,13329,410,Республика Чувашия
7,14601,12438,249,Кабардино-Балкарская Республика
28,14201,12653,105,Амурская область
48,14072,10865,196,Липецкая область
17,14051,12859,157,Республика Тыва
9,14026,12484,38,Карачаево-Черкесская Республика
65,13974,10902,12,Сахалинская область
44,13664,10200,205,Костромская область
8,13541,11164,181,Республика Калмыкия
4,12941,12361,71,Республика Алтай
13,12440,10176,81,Республика Мордовия
16,12073,10466,170,Республика Татарстан
6,11078,9311,123,Республика Ингушетия
15,10955,9735,85,Республика Северная Осетия — Алания
45,10723,9448,139,Курганская область
1,9942,7893,77,Республика Адыгея
41,9168,8101,82,Камчатский край
12,8565,7614,111,Республика Марий Эл
20,7016,3281,86,Чеченская Республика
49,6524,5989,60,Магаданская область
92,5765,5382,190,Севастополь
79,3485,2400,61,Еврейская автономная область
83,741,678,0,Ненецкий автономный округ
87,487,427,4,Чукотский автономный округ
99,2819429,2254742,50347,Всего
