Region Id,Sick,Healed,Die,Region Name
77,254448,200359,4687,Москва
50,66384,49920,1155,Московская область
78,34487,24793,2293,Санкт-Петербург
52,26132,23139,438,Нижегородская область
66,23842,19249,382,Свердловская область
86,18747,16815,153,Ханты-Мансийский АО
38,15775,11596,239,Иркутская область
24,15517,12679,398,Красноярский край
61,15377,12805,298,Ростовская область
36,12954,11467,100,Воронежская область
74,12875,8480,101,Челябинская область
89,12760,11950,84,Ямало-Ненецкий автономный округ
51,12046,9134,129,Мурманская область
64,11211,7083,67,Саратовская область
73,11025,7880,73,Ульяновская область
34,10939,7151,80,Волгоградская область
22,10887,9257,107,Алтайский край
54,10775,9458,324,Новосибирская область
26,10480,6993,203,Ставропольский край
5,10210,9130,474,Республика Дагестан
23,10161,8556,148,Краснодарский край
29,9988,8671,241,Архангельская область
27,9229,7103,83,Хабаровский край
71,8914,7611,297,Тульская область
56,8885,7235,67,Оренбургская область
55,8776,6541,136,Омская область
25,8616,6921,99,Приморский край
32,7889,6406,35,Брянская область
63,7706,5895,121,Самарская область
40,7702,6465,60,Калужская область
58,7448,7093,99,Пензенская область
2,7402,6554,27,Республика Башкортостан
21,7378,6001,68,Республика Чувашия
72,7177,6762,28,Тюменская область
59,7172,5038,192,Пермский край
37,6974,5734,112,Ивановская область
31,6854,5985,51,Белгородская область
14,6847,5705,69,Республика Саха (Якутия)
62,6827,6049,39,Рязанская область
76,6772,6033,32,Ярославская область
46,6741,5592,51,Курская область
17,6549,5792,60,Республика Тыва
57,6520,4986,100,Орловская область
68,6477,5414,44,Тамбовская область
47,6455,4772,70,Ленинградская область
7,6273,5893,75,Кабардино-Балкарская Республика
11,6191,5042,76,Республика Коми
16,6161,5013,31,Республика Татарстан
33,6017,5304,191,Владимирская область
67,5974,4954,121,Смоленская область
43,5802,4682,89,Кировская область
42,5306,3723,21,Кемеровская область
30,5264,4444,61,Астраханская область
69,5114,4024,173,Тверская область
70,5110,3884,54,Томская область
13,5078,3952,38,Республика Мордовия
48,4867,4399,24,Липецкая область
15,4712,4302,67,Республика Северная Осетия — Алания
3,4699,4098,42,Республика Бурятия
9,4688,3969,25,Карачаево-Черкесская Республика
75,4338,4031,51,Забайкальский край
60,4242,3053,60,Псковская область
6,4095,3585,75,Республика Ингушетия
53,4092,2928,72,Новгородская область
12,4061,3590,36,Республика Марий Эл
65,3752,2113,0,Сахалинская область
41,3654,3100,42,Камчатский край
8,3472,2402,46,Республика Калмыкия
19,3195,2932,38,Республика Хакасия
39,3179,2565,55,Калининградская область
1,3161,2629,24,Республика Адыгея
28,3118,2688,47,Амурская область
44,2993,2071,37,Костромская область
35,2985,2467,30,Вологодская область
18,2849,2347,36,Удмуртская Республика
10,2752,1861,15,Республика Карелия
45,2703,2313,15,Курганская область
20,2205,1498,37,Чеченская Республика
4,1884,1615,7,Республика Алтай
91,1820,1282,24,Республика Крым
49,1701,1293,16,Магаданская область
79,585,525,9,Еврейская автономная область
92,435,339,14,Севастополь
83,299,105,0,Ненецкий автономный округ
87,165,156,1,Чукотский автономный округ
99,937321,749423,15989,Всего
